SOP_NV_Variance,Reseller
1.2e+11,0
4.7e+10,0
5.8e+09,0
1.2e+12,0
9.8e+10,0
8.4e+10,0
1.1e+12,0
2.2e+10,0
8.3e+10,0
1.1e+10,0
1.3e+12,NA
1.4e+11,0
5.6e+10,0
1.1e+10,NA
1.2e+11,0
1.3e+12,0
4.7e+11,NA
1.6e+11,0
8.9e+10,0
-1,0
-1,0
1.3e+11,0
1.3e+11,0
1.4e+10,NA
6.7e+10,0
8.4e+10,0
-1,0
7.6e+10,0
1.2e+11,0
5.8e+10,NA
1.4e+11,0
-1,0
2e+11,NA
8.5e+11,0
-1,0
1.4e+12,0
4e+10,0
3.2e+09,0
1.4e+11,0
1.9e+11,0
2.1e+11,0
1.3e+12,0
8.6e+11,0
2.5e+10,0
8.4e+10,0
5.5e+11,0
2.7e+11,0
1.5e+11,NA
3e+11,0
-1,0
6.9e+09,NA
1e+11,0
1.9e+11,0
1.8e+11,0
1.1e+11,0
1.7e+11,0
1.7e+11,NA
7.9e+10,0
1.4e+11,0
2.1e+11,0
8.2e+10,0
1.2e+11,0
1e+11,NA
2.4e+11,NA
8.7e+10,NA
1.5e+11,0
8.7e+10,0
8.7e+10,0
3.3e+11,0
9.4e+11,0
-1,0
3e+11,0
5.5e+11,NA
5.5e+10,0
1.3e+11,0
8.4e+10,0
1.6e+11,0
9e+10,0
9.2e+10,0
6.4e+10,0
9.8e+10,0
1.5e+11,0
1.2e+11,0
2.8e+11,NA
5e+10,0
1.5e+11,NA
9.6e+10,NA
1.4e+11,0
1.8e+11,0
8.4e+10,0
1e+12,0
1.6e+11,0
1e+11,0
1.3e+12,NA
8.9e+09,0
1.3e+11,0
3.8e+11,NA
7.5e+10,0
4.3e+10,0
-1,0
1e+11,NA
1.1e+11,0
2.7e+11,0
9.1e+10,0
-1,0
1.2e+11,0
9.3e+11,NA
1.8e+12,0
7.4e+10,0
3.3e+11,0
3.2e+11,0
4.5e+11,0
1.1e+11,0
2.8e+11,0
3.5e+11,0
2.6e+10,0
8.9e+10,0
1.2e+11,0
2.6e+11,0
6.4e+10,NA
1.4e+11,NA
7.5e+10,0
1.1e+11,NA
8.1e+10,0
1.3e+12,0
2.4e+11,0
3e+10,NA
4e+11,0
1.6e+11,0
5.1e+09,0
1.5e+11,0
6.6e+10,0
1.2e+09,0
1.2e+12,0
1.8e+11,0
7.6e+10,0
1.8e+11,NA
2.8e+11,0
8.3e+10,0
2e+11,NA
4.3e+11,0
5.5e+11,0
-1,NA
3.2e+11,0
1.9e+11,0
2.6e+11,NA
3.4e+11,0
8.5e+10,0
4.3e+10,NA
1.6e+11,0
2.3e+11,0
1.5e+11,0
4.9e+10,0
1.2e+11,0
9e+10,NA
5.7e+10,NA
1.6e+11,0
7.2e+11,0
7.8e+10,NA
1.5e+10,0
1.1e+12,0
4.2e+11,0
2.3e+11,0
2.2e+11,0
4.3e+08,0
1.6e+11,0
4.6e+09,0
8.4e+10,NA
7.5e+11,0
8.4e+11,0
1.2e+11,0
1.9e+11,NA
1.3e+10,0
1.2e+11,0
1.2e+12,NA
1.2e+11,NA
8e+11,0
1.2e+11,0
1e+11,0
1.9e+10,0
4.6e+11,NA
4.5e+10,NA
1.4e+11,0
4.4e+10,0
5.7e+10,0
1.1e+11,0
1.1e+11,0
5.8e+08,0
3.3e+11,0
1.1e+11,0
7.2e+11,NA
3.7e+11,0
1.3e+11,0
1e+11,0
1.4e+11,0
1.5e+11,0
2e+12,0
8.6e+09,0
2.5e+11,0
4.7e+11,NA
5.8e+10,0
5.4e+10,0
3.8e+11,NA
1.2e+11,0
2.4e+11,0
1.4e+11,0
-1,0
0,0
1.6e+11,0
1.2e+11,NA
-1,0
1.1e+12,0
8.8e+11,0
1e+11,0
6.7e+10,0
1.6e+12,0
1.2e+11,0
-1,0
2.5e+11,NA
6e+11,NA
3.2e+11,0
1.4e+11,0
7.6e+11,0
3.3e+11,0
5e+10,NA
1.3e+11,0
1.2e+11,0
1.8e+10,0
1.6e+11,0
9.4e+11,0
1.1e+12,0
7.9e+10,NA
1.1e+12,0
8.1e+10,0
7.9e+10,0
8.9e+10,NA
-1,0
1.7e+11,0
-1,0
1e+12,NA
7.4e+09,NA
1.2e+11,0
8.4e+11,0
3.8e+10,0
2.1e+11,0
6.3e+11,NA
2.6e+09,0
3.1e+11,NA
1.2e+12,0
1e+10,0
1.4e+10,0
1e+12,0
4.6e+10,0
5.8e+10,0
8.5e+10,0
1.2e+11,0
2.6e+10,NA
1.4e+11,0
5.3e+09,0
1.1e+09,0
1.3e+12,NA
8e+10,0
4.7e+11,0
8.4e+10,NA
8.3e+10,0
2e+10,NA
8e+10,0
8.1e+10,0
1.3e+12,0
1.2e+12,0
1.3e+11,0
1.5e+11,0
1.2e+11,0
-1,0
1.8e+11,0
1.2e+11,0
5.8e+10,0
2.4e+11,0
9.1e+11,0
1.8e+11,0
7.7e+10,0
1.1e+11,NA
1.5e+11,0
1e+11,0
3.8e+11,NA
8.9e+10,NA
5.4e+11,0
9.4e+10,0
1.1e+11,0
-1,0
9.4e+10,0
1.1e+11,NA
4.6e+11,0
3e+11,0
5.8e+10,NA
8.1e+10,0
1.5e+11,NA
1.2e+11,NA
2.1e+11,0
1.5e+11,0
1.1e+11,0
8.3e+10,NA
1e+12,0
1.1e+11,0
5.2e+10,0
3e+11,0
1.5e+11,0
1.3e+11,0
1.6e+12,0
8.9e+11,0
4.7e+11,NA
1e+11,0
3.7e+11,0
9.6e+09,NA
3e+11,0
9e+10,0
6.8e+10,0
1.3e+12,0
1.3e+12,0
3.6e+11,0
1.1e+11,0
9.6e+10,0
4.2e+10,0
4.1e+11,0
6.7e+10,NA
1.2e+12,0
1.3e+11,0
5.5e+11,NA
1.8e+11,0
8.1e+10,0
1.5e+11,0
1.8e+11,0
1.4e+11,0
6e+10,0
1.1e+11,0
1.2e+11,0
1.5e+11,0
1e+11,0
1.4e+11,0
2.4e+11,0
1.8e+11,0
-1,0
5.1e+09,NA
1.2e+09,NA
1.5e+11,0
9.7e+10,0
4.3e+11,0
5.3e+10,0
3.4e+11,NA
2.3e+11,0
3e+10,0
6.9e+10,0
1.3e+11,0
1.2e+11,0
1.4e+11,NA
3e+11,0
8.9e+10,0
8.5e+10,0
7.2e+10,0
6.5e+11,0
8e+10,0
1.8e+11,NA
1.2e+11,0
3.4e+11,0
1.9e+11,0
3e+11,0
4e+11,0
8.8e+10,0
2e+11,NA
1.2e+11,0
-1,NA
8.4e+11,NA
1.3e+09,NA
2.1e+11,0
1.2e+11,0
5.3e+11,0
1.2e+11,0
1.1e+11,0
1.1e+11,0
9.5e+10,NA
2.3e+11,1
9.6e+09,0
7.5e+10,0
4e+11,0
6.4e+11,0
1.5e+11,NA
5.2e+10,0
1.3e+12,0
8.4e+10,NA
1.1e+12,NA
7e+10,0
1.6e+12,0
1e+11,0
5.9e+10,0
1.8e+12,NA
1.3e+11,NA
1.5e+10,0
1.6e+11,NA
3.8e+11,0
1.9e+11,0
9.7e+10,0
9.8e+10,0
1.6e+10,NA
1.1e+11,0
4.6e+11,0
6.2e+11,0
1.7e+11,0
1.8e+12,NA
1.6e+12,0
1.4e+11,0
9.9e+11,0
2.3e+10,0
4.9e+11,NA
1.2e+11,NA
8e+10,0
5.6e+09,0
1.1e+12,0
1e+11,0
2.2e+11,NA
8.4e+10,0
1.1e+11,NA
9.5e+11,0
1.1e+11,NA
1e+10,0
2.6e+11,0
2.3e+11,0
2.3e+10,0
4.2e+10,0
7.9e+10,0
1e+11,0
-1,0
7.2e+11,0
5e+10,0
1.2e+11,0
2.2e+11,0
3.4e+11,0
2.9e+11,0
1.2e+12,0
-1,NA
1.3e+10,0
9.5e+10,0
2.7e+11,0
9.6e+10,0
5.9e+11,NA
8.4e+10,1
1.2e+11,0
3.2e+11,0
8e+10,0
5.6e+10,0
-1,0
1.3e+11,NA
6.8e+10,0
1.6e+12,0
9.6e+10,0
1.1e+11,0
6.8e+10,0
2.7e+11,0
6.6e+11,0
5.5e+10,0
2.6e+09,0
4e+10,0
1.1e+11,0
-1,NA
6.8e+11,0
1.2e+11,NA
1e+12,0
1.5e+11,0
1.6e+11,NA
1.2e+11,0
2.2e+12,0
1.5e+09,0
1.8e+12,0
5.4e+11,0
1.2e+11,0
4.5e+10,0
7.2e+09,0
-1,0
8.6e+11,0
7.4e+10,NA
1e+11,0
1.9e+11,0
5.3e+11,NA
7.1e+09,0
3e+11,0
-1,0
2.3e+11,NA
1.2e+11,NA
9.2e+09,0
-1,0
9.6e+10,0
1.8e+11,0
7.5e+10,0
9.5e+10,0
1.1e+12,NA
5.3e+10,0
2.5e+11,NA
1.7e+12,NA
1.3e+11,0
1.2e+11,0
1.2e+11,0
4e+10,0
3.5e+10,NA
1.2e+11,NA
1.5e+11,0
5.6e+11,1
-1,0
5.6e+10,0
2.5e+11,0
1.3e+11,0
1.1e+11,NA
1.8e+11,0
2.8e+11,0
1.7e+11,0
1.2e+11,0
9.1e+11,0
-1,0
-1,0
1e+11,0
1.1e+11,NA
4.9e+09,0
-1,NA
7.6e+10,NA
7.7e+09,0
9.8e+11,0
1.2e+12,0
1.3e+11,0
1.2e+11,0
9.5e+11,1
9.1e+10,1
4.1e+11,1
1.3e+11,1
2e+11,NA
1.3e+11,1
1.6e+11,1
1.1e+11,1
1.4e+11,1
6.9e+09,1
8.4e+11,NA
4.2e+10,1
4.2e+11,1
9e+10,1
6.3e+10,1
1.9e+11,1
1.8e+11,1
8.6e+10,1
6.8e+10,1
-1,1
7.8e+10,1
1.3e+11,0
1.4e+10,0
8.3e+10,0
1.1e+11,0
1e+11,0
4.9e+11,NA
1.4e+11,0
1.5e+10,0
3.3e+11,0
1.7e+08,0
5.1e+09,0
1.3e+11,NA
-1,0
3.1e+10,0
3.2e+09,NA
7.3e+11,0
1.8e+12,0
6.7e+10,0
2.4e+11,0
-1,0
1e+09,0
9.6e+11,0
8.4e+10,0
4.3e+11,NA
9.3e+11,0
-1,0
8.1e+10,0
1.3e+11,0
4.1e+09,0
2.8e+11,0
1.2e+11,0
9.4e+10,0
2.2e+10,0
2.1e+11,0
1e+11,0
1.4e+10,0
-1,0
1.2e+09,0
8.5e+10,0
4e+11,0
1.3e+11,0
7.6e+11,0
1.3e+11,0
9.4e+09,0
1e+11,0
1.8e+11,0
2e+09,0
5.5e+10,0
1.1e+11,0
8.1e+10,NA
8.3e+10,0
1.2e+11,0
2.9e+11,NA
-1,0
4.6e+09,0
9.6e+10,NA
-1,0
2.2e+10,0
1.9e+11,NA
-1,0
1e+12,0
1.2e+12,0
-1,0
-1,0
2.4e+11,0
1.7e+08,NA
1.3e+11,0
6.3e+11,0
9e+10,0
1.4e+11,0
1.6e+12,0
1.4e+11,0
1.6e+11,0
1.3e+10,0
2.1e+11,0
1.5e+11,0
1.1e+10,NA
-1,NA
5.6e+10,0
9.7e+10,NA
2.2e+10,0
8.2e+09,NA
1.5e+11,0
8.4e+09,0
3.4e+11,NA
7.9e+11,0
4.6e+11,0
1.3e+12,NA
1.8e+11,NA
4e+11,NA
-1,NA
3.9e+11,1
2.1e+11,NA
6e+10,1
1.9e+11,1
2e+11,NA
9.5e+11,1
-1,1
1.1e+10,NA
1.3e+11,1
2.3e+11,1
1.9e+10,1
1e+11,1
-1,1
9.7e+10,1
7.1e+10,1
2.6e+11,1
2.4e+11,1
1e+11,1
-1,NA
-1,0
1e+10,NA
1.7e+11,0
1.5e+12,0
9e+10,0
5e+11,0
1.3e+11,0
8.5e+09,0
8.6e+10,0
1.1e+11,0
1.2e+12,0
3.6e+11,0
1.1e+12,0
5.3e+10,0
2.2e+10,0
2e+11,0
1.3e+11,NA
8.3e+10,0
5.8e+11,0
1.2e+12,0
-1,0
1e+11,0
9.1e+10,0
9.8e+11,0
-1,0
8.4e+10,NA
2e+11,0
1.3e+11,NA
3e+11,0
8.9e+10,NA
-1,0
2.1e+09,0
1.5e+11,0
1.5e+11,0
7.8e+10,0
1.2e+11,0
6.9e+09,NA
7.8e+10,0
-1,0
1.3e+11,0
3.7e+10,NA
9.8e+10,0
3.2e+11,0
-1,NA
8.3e+10,NA
1.5e+10,0
9.1e+09,0
1.5e+11,0
6.6e+10,0
1.2e+11,0
1e+11,0
4e+11,0
1.6e+11,0
5.6e+10,0
1.2e+11,NA
1.2e+11,0
1e+11,0
1.5e+11,0
8.1e+10,0
9.6e+10,NA
1.9e+11,0
7.2e+11,0
7.5e+10,0
1.6e+11,0
8.7e+11,0
1.7e+11,0
1.1e+11,0
2.8e+08,0
4.6e+11,0
2.3e+11,0
1.2e+11,0
1.6e+10,0
3.8e+11,0
7.8e+10,0
-1,0
9.6e+10,0
1.9e+11,0
8.4e+10,0
3.2e+11,0
1.1e+11,0
1.6e+11,NA
8.6e+10,0
1.2e+11,0
1.2e+12,0
-1,NA
2e+11,0
3.3e+11,NA
1.7e+12,0
1.1e+12,NA
1.3e+10,0
1.1e+11,0
2.1e+11,NA
1.1e+12,0
1.3e+11,0
-1,NA
1.3e+11,0
1.4e+11,0
3.4e+11,0
99905,NA
1.2e+11,0
8.5e+08,0
9.8e+11,0
2.4e+11,0
4.5e+10,0
-1,0
5.5e+10,0
1.1e+11,0
5.1e+11,0
4.6e+10,NA
8.7e+10,0
-1,0
2.2e+11,NA
3e+11,0
1.4e+11,0
9.1e+10,0
1.6e+10,0
9.5e+10,NA
1.3e+12,0
1.3e+11,0
2.4e+11,0
1.1e+12,NA
1.1e+11,0
1.4e+12,0
1.5e+12,0
5.2e+10,NA
9.7e+10,0
9.5e+10,0
1.4e+11,0
2e+11,NA
5.8e+11,0
3.9e+11,0
9.6e+09,0
2.8e+11,0
2.3e+11,0
1.4e+11,NA
2.4e+11,0
1.8e+11,0
2.4e+11,0
1.3e+11,0
4.5e+11,0
1.2e+12,0
2.6e+11,0
1.1e+11,0
3e+11,0
3.5e+11,0
1.1e+12,0
3.2e+11,0
1.8e+11,0
1.5e+11,0
4.8e+11,0
9.4e+10,0
3.6e+11,0
3.4e+11,0
5.5e+08,0
9.1e+11,NA
9.8e+11,0
8.7e+10,NA
1.1e+12,0
7.8e+10,0
7.5e+10,0
2.9e+11,0
7.8e+11,0
9.6e+10,0
3.5e+10,0
1.3e+11,0
1.8e+11,0
1.1e+12,0
8.4e+10,0
1.1e+11,0
1.4e+11,0
1.2e+12,0
1.2e+12,0
-1,0
1.1e+11,0
4.6e+09,0
1.6e+11,NA
1e+11,0
6.1e+11,0
-1,0
1.8e+11,0
7.8e+10,0
5.2e+11,0
1.1e+11,0
5.3e+10,0
5.1e+11,0
5e+10,NA
4e+11,0
2.3e+11,0
4.9e+10,NA
6.7e+10,0
5e+10,0
2.3e+11,NA
1.7e+12,NA
1.4e+10,NA
8e+11,0
1.8e+11,0
2.5e+11,NA
2.1e+11,0
1.2e+11,0
3e+11,0
5.8e+11,0
7e+11,0
4.2e+09,NA
3.9e+09,0
8.5e+10,0
1.9e+11,0
1e+11,0
2.2e+11,NA
1.6e+11,0
1.7e+08,0
3e+11,0
3e+11,NA
6.6e+09,0
1.1e+11,0
6.1e+11,0
2.3e+09,0
-1,NA
3e+11,0
7.3e+10,0
4.7e+11,0
1.3e+11,0
1.9e+11,NA
1.8e+11,NA
2.1e+11,0
5.9e+09,NA
1.2e+11,0
5.4e+10,0
2.6e+09,0
3.8e+11,0
8.7e+10,0
-1,NA
1.7e+11,0
3.9e+11,0
1.9e+09,0
1.1e+11,0
8.2e+10,0
9.8e+11,0
1.2e+11,0
1.6e+11,0
-1,0
1.3e+11,0
7.9e+10,0
1.5e+12,NA
1.3e+09,0
1.3e+11,0
6.5e+10,0
1.5e+11,0
9.6e+10,0
6.6e+09,0
1.1e+11,0
5.6e+10,0
1.1e+11,0
-1,0
1.2e+11,NA
5.2e+11,0
9.6e+10,0
5.7e+11,0
1.1e+11,0
1.1e+10,0
3.2e+09,0
1.4e+11,0
1.7e+11,NA
5.2e+11,0
9.4e+11,0
3e+11,0
3.2e+11,0
1e+11,0
9.9e+10,0
2.1e+11,NA
-1,0
1.3e+11,NA
9e+11,0
2.9e+11,0
1.1e+11,NA
2e+11,NA
2.1e+11,0
9e+10,0
-1,0
2.2e+11,0
-1,0
1.6e+11,0
5.1e+09,1
2e+12,0
1e+12,0
3.7e+10,NA
2.2e+11,0
5.4e+10,0
6.2e+10,0
2.6e+11,0
1.7e+09,0
1.9e+10,0
1.3e+12,0
1.7e+11,0
2.5e+11,NA
1.3e+11,0
1e+11,NA
1e+11,0
2.4e+09,0
4.7e+10,0
2.2e+11,0
6.8e+11,NA
-1,0
1.4e+10,0
9e+10,0
1.7e+11,NA
4.1e+11,NA
-1,NA
-1,NA
1.2e+11,0
1.3e+12,0
3.5e+10,0
1.5e+11,0
-1,0
6.7e+10,0
2.9e+11,NA
2.2e+09,0
1e+12,0
0,0
3.8e+11,0
-1,NA
7.7e+11,NA
1e+11,1
1.1e+11,1
7.5e+11,1
1.3e+11,1
2e+11,1
1e+11,1
8.3e+10,1
7.8e+10,1
3.2e+11,1
1.9e+11,1
9.8e+11,1
1.7e+11,1
2.9e+08,NA
1e+11,1
3.3e+11,1
2e+11,0
3e+10,NA
-1,0
4e+11,0
1.2e+12,0
1.3e+11,0
4.8e+11,0
6.8e+10,0
3.2e+11,NA
7.6e+10,0
3.6e+11,0
2.1e+10,NA
7.7e+11,0
8.3e+10,0
1.6e+11,0
1e+11,0
1.2e+12,NA
1.7e+11,0
6e+10,0
1.1e+11,0
7.4e+10,0
3.2e+09,0
2.2e+11,0
5.4e+10,0
2.3e+11,NA
4.7e+11,0
8.3e+11,0
9.6e+08,0
2e+11,NA
5.9e+10,0
2e+11,0
1.2e+12,0
5.5e+10,0
9.4e+10,0
-1,0
9.8e+11,NA
7.5e+10,0
1.7e+11,0
1.1e+12,0
1.2e+12,NA
3.8e+09,NA
8.8e+10,0
5.4e+10,0
7.2e+11,0
4e+10,0
3e+11,0
1e+11,0
1.2e+11,NA
1.2e+12,0
3.9e+11,0
3.5e+11,NA
1.1e+12,0
1.2e+11,0
6.4e+10,0
1.4e+11,0
1.4e+12,0
4.4e+11,0
5.8e+10,0
1.3e+12,0
1.3e+11,0
1.2e+12,NA
1.3e+11,0
7.8e+10,0
9.7e+10,0
1e+10,NA
2.7e+11,0
-1,0
1.7e+11,0
9.7e+10,NA
1.1e+11,0
1.2e+11,0
2.7e+11,NA
1.5e+11,0
9e+10,0
5e+10,0
1.1e+11,0
2.1e+10,0
9.6e+10,0
9.3e+10,NA
1.1e+11,0
7.9e+10,0
4.7e+11,0
6.3e+11,0
1.4e+12,NA
1.2e+11,0
-1,0
1.2e+11,0
2.5e+11,0
1.3e+11,NA
3.2e+09,0
1.8e+11,0
4.6e+11,NA
1.3e+11,0
1.3e+11,0
5.3e+11,0
2.1e+11,0
5.3e+11,0
8.4e+10,0
2.9e+10,NA
9.8e+10,0
1.4e+11,0
-1,0
3.3e+11,NA
3.6e+11,NA
9.7e+10,0
5.9e+10,0
1.2e+11,1
2.5e+11,0
1.8e+11,NA
9.6e+10,0
1.4e+11,0
1.4e+11,0
8.4e+10,0
1.1e+11,0
4.1e+11,0
2.6e+11,0
8.4e+10,0
5e+10,0
1.2e+12,0
-1,0
9.6e+10,0
-1,0
1.4e+09,NA
1.4e+11,NA
-1,0
9.7e+10,0
9.7e+10,0
1.8e+11,0
1.5e+10,0
1.9e+11,0
2.2e+11,0
1.7e+11,0
9.6e+10,NA
1.6e+12,1
7.5e+10,0
1.7e+09,0
1.1e+12,0
4.7e+11,0
2.8e+11,NA
1.3e+11,0
2.2e+11,0
9.1e+11,0
8.7e+10,0
1.8e+08,0
4.6e+09,0
2e+11,0
1.2e+11,0
1.1e+11,0
1.3e+11,NA
9.6e+10,0
1.7e+11,0
1.7e+11,0
8.9e+10,0
2.4e+11,0
6.7e+10,0
1.3e+11,0
1.2e+11,NA
1.5e+12,NA
-1,0
-1,0
8.1e+10,0
1.2e+11,0
8.9e+10,0
1.5e+11,0
1.5e+09,NA
1.8e+11,0
9.4e+10,0
5.6e+10,NA
6.6e+11,0
1.2e+11,0
1.2e+12,0
2.8e+11,0
5.4e+10,0
8.5e+10,0
2.7e+11,0
1.1e+11,0
1.1e+11,NA
3e+10,0
1.5e+11,0
9.5e+10,0
1.7e+12,0
-1,0
6.3e+10,0
1.7e+11,NA
9.4e+10,0
2.5e+10,0
1.1e+11,0
4.7e+10,0
5.3e+11,0
1.3e+12,NA
1.4e+11,0
5.1e+09,NA
7e+10,0
1.7e+10,0
1.8e+11,0
1.3e+11,0
2e+09,0
1e+10,0
1e+11,0
8.9e+09,0
2.4e+10,0
5.5e+11,0
2.3e+11,0
2.5e+11,0
1.3e+11,NA
4.3e+09,NA
1.4e+11,0
8.6e+10,NA
1.2e+11,0
-1,0
2.9e+11,0
8.6e+10,0
1.3e+12,0
-1,0
1.3e+11,0
2.8e+08,0
1.2e+12,0
8.8e+10,NA
1.4e+12,0
2.2e+10,0
3.5e+10,0
1.5e+12,0
6.1e+10,NA
3.3e+11,0
2.3e+11,NA
9.5e+11,NA
7.8e+11,0
-1,NA
6.4e+09,0
3.3e+11,0
3.5e+10,0
1.2e+11,NA
1e+12,1
2e+11,0
1.3e+12,0
1.7e+11,0
6.2e+10,0
5.9e+10,0
1.9e+11,0
2.4e+11,0
-1,0
1.7e+11,NA
1.1e+11,0
2.5e+09,NA
5.4e+10,NA
0,0
5.4e+11,0
8.6e+10,0
2.3e+11,NA
-1,0
1.6e+11,0
3e+10,0
1.3e+11,0
1e+11,0
2.3e+11,0
5.5e+10,NA
2.6e+10,0
1.8e+11,0
2.5e+11,0
1.1e+11,0
4.7e+10,0
2.7e+11,0
1.2e+11,NA
1.1e+11,0
2e+11,0
1.1e+11,0
1.5e+11,NA
1.7e+12,0
1.2e+12,0
1.8e+11,0
1.4e+11,0
-1,0
5.1e+10,0
1.9e+10,0
5.7e+10,0
1.3e+11,0
4.8e+10,0
3.7e+09,0
1e+11,0
-1,0
5e+10,NA
1.8e+11,0
1.1e+11,0
2.7e+10,0
