SOP_BU_A,SOP_BU_B,SOP_BU_C,Reseller
65,-1,-1,0
-1,18,-1,0
11,-1,2,0
-1,9,-1,0
149,40,2,0
-1,1,34,0
9,-1,162,0
4,-1,6,0
65,11,-1,0
-1,6,-1,0
4,5,3,NA
294,82,13,0
-1,-1,15,0
5,-1,-1,NA
694,-1,-1,0
5,-1,4,0
26,33,-1,NA
13,16,40,0
74,24,14,0
1,-1,-1,0
-1,-1,1,0
171,54,89,0
2,12,2,0
-1,6,-1,NA
-1,188,-1,0
-1,38,-1,0
-1,1,-1,0
17,28,1,0
139,145,11,0
-1,4,-1,NA
478,14,175,0
-1,1,-1,0
9,2,92,NA
-1,13,50,0
-1,1,-1,0
-1,-1,11,0
-1,6,-1,0
-1,-1,11,0
8,-1,115,0
-1,-1,1993,0
565,-1,-1,0
-1,-1,14,0
4,-1,36,0
2,-1,-1,0
3,-1,138,0
11,-1,9,0
132,12,-1,0
5,2,-1,NA
87,11,-1,0
-1,1,-1,0
9,7,-1,NA
-1,-1,210,0
-1,-1,4,0
-1,-1,1624,0
-1,12,-1,0
129,19,76,0
262,144,20,NA
150,80,46,0
13,22,-1,0
451,116,817,0
80,14,-1,0
654,-1,-1,0
24,18,1,NA
-1,-1,159,NA
1058,277,7,NA
-1,-1,1018,0
19,4,-1,0
-1,-1,424,0
128,177,7,0
-1,-1,60,0
1,-1,-1,0
36,9,47,0
21,25,-1,NA
37,43,2,0
4,1,11,0
63,26,-1,0
-1,-1,432,0
20,-1,-1,0
28,62,6,0
-1,-1,10,0
1,17,12,0
-1,10,-1,0
345,45,132,0
93,14,190,NA
62,5,5,0
-1,-1,113,NA
10,-1,-1,NA
13,22,-1,0
268,63,-1,0
-1,38,-1,0
4,2,26,0
-1,-1,432,0
66,36,8,0
-1,9,-1,NA
-1,8,-1,0
4843,1591,2247,0
49,-1,4,NA
22,4,1,0
8,-1,171,0
-1,1,-1,0
75,-1,-1,NA
232,73,250,0
132,12,-1,0
2260,116,281,0
1,-1,-1,0
1460,218,622,0
13,-1,-1,NA
-1,-1,3,0
11,-1,-1,0
33,2,17,0
1182,453,416,0
49,16,1,0
131,47,7,0
379,79,231,0
14,1,42,0
-1,-1,6,0
688,183,140,0
-1,-1,1241,0
-1,-1,292,0
47,5,45,NA
42,2,146,NA
199,108,121,0
-1,-1,2094,NA
162,11,119,0
-1,9,20,0
41,13,28,0
-1,-1,9,NA
27,18,3,0
2647,150,-1,0
-1,2,1,0
867,565,389,0
21,6,5,0
2,-1,-1,0
7,-1,-1,0
-1,-1,563,0
101,39,80,0
794,136,4,NA
471,108,29,0
38,24,6,0
75,4,10,NA
302,177,131,0
71,25,1,0
1,-1,-1,NA
35,25,1,0
310,70,139,0
119,4,-1,NA
4,-1,-1,0
59,12,-1,0
8,-1,171,NA
804,160,71,0
1,2,1,0
-1,-1,113,0
-1,-1,19,0
87,4,119,0
5,3,66,NA
-1,-1,18,NA
622,13,444,0
7,-1,35,0
-1,-1,68,NA
-1,4,-1,0
-1,8,2,0
-1,170,-1,0
104,5,125,0
384,418,8,0
-1,46,-1,0
30,-1,29,0
-1,-1,2,0
-1,1,34,NA
-1,5,-1,0
19,-1,-1,0
2,3,-1,0
5,12,76,NA
7,2,-1,0
27,5,-1,0
-1,12,-1,NA
147,84,27,NA
16,-1,23,0
15,-1,-1,0
22,11,-1,0
2,1,-1,0
27,4,3,NA
-1,5,-1,NA
196,15,216,0
-1,40,-1,0
-1,-1,18,0
-1,10,-1,0
871,272,156,0
3,-1,-1,0
79,24,-1,0
330,20,295,0
21,-1,6,NA
-1,35,3,0
7847,-1,8,0
374,-1,-1,0
206,28,204,0
160,69,171,0
-1,7,-1,0
-1,15,-1,0
10,-1,-1,0
2,-1,-1,NA
15,4,2,0
3,-1,2,0
2,-1,-1,NA
15,-1,-1,0
-1,-1,3,0
-1,-1,167,0
-1,1,-1,0
6,1,-1,0
563,230,84,0
139,145,11,NA
-1,1,-1,0
-1,1,14,0
8,2,3,0
564,171,593,0
23,3,8,0
2,5,-1,0
1078,32,43,0
-1,1,-1,0
-1,20,-1,NA
35,67,15,NA
46,2,3,0
134,97,10,0
-1,12,2,0
15,5,58,0
10,8,33,NA
6177,-1,-1,0
40,5,15,0
11,-1,-1,0
16,-1,14,0
-1,9,-1,0
-1,8,-1,0
54,8,-1,NA
1,-1,14,0
242,49,197,0
150,80,46,0
194,35,-1,NA
-1,-1,1,0
28,20,295,0
1,-1,-1,0
4,2,26,NA
-1,3,-1,NA
73,4,-1,0
21,7,-1,0
-1,-1,102,0
-1,11,-1,0
-1,58,-1,NA
-1,27,-1,0
-1,-1,105,NA
1,1,15,0
7,-1,-1,0
4,12,-1,0
-1,9,1,0
17,3,3,0
28,7,-1,0
23,6,51,0
-1,28,-1,0
-1,-1,3,NA
-1,-1,335,0
-1,-1,11,0
-1,-1,2,0
-1,10,1,NA
1275,-1,-1,0
5,49,1,0
-1,38,-1,NA
-1,-1,905,0
10,3,1,NA
6,6,-1,0
348,62,31,0
43,4,160,0
4,-1,65,0
228,60,66,0
867,565,389,0
-1,28,-1,0
1,-1,-1,0
1077,45,121,0
31,32,235,0
37,2,-1,0
-1,-1,265,0
86,4,2,0
-1,-1,1624,0
1453,55,3,0
100,7,5,NA
-1,-1,6518,0
293,121,89,0
90,32,27,NA
74,24,14,NA
93,-1,11,0
4755,355,15,0
1901,132,513,0
-1,1,-1,0
16,7,50,0
416,-1,-1,NA
18,-1,28,0
5,-1,234,0
19,1,-1,NA
-1,12,3685,0
358,84,206,NA
-1,-1,2449,NA
147,373,12,0
5,2,-1,0
610,44,86,0
10,2,-1,NA
-1,8,1,0
1434,1000,2,0
8,17,-1,0
3,-1,-1,0
-1,-1,40,0
-1,-1,71,0
2,5,-1,0
18,-1,51,0
99,38,36,NA
1331,-1,-1,0
29,4,4,0
7,1,-1,NA
5,-1,234,0
391,38,1,0
14,1,-1,0
-1,9,-1,0
6,-1,-1,0
476,51,49,0
-1,-1,793,0
2009,334,78,0
-1,145,-1,0
-1,-1,158,0
-1,-1,63,NA
7,-1,-1,0
2901,-1,26,0
71,25,1,NA
154,70,30,0
328,77,29,0
7,3,-1,0
21302,-1,1,0
418,203,179,0
62,17,-1,0
-1,4,7,0
10,-1,11,0
4158,447,352,0
6,3,-1,0
225,80,147,0
-1,404,-1,0
304,28,75,0
1,-1,-1,0
-1,2,1,NA
2,-1,-1,NA
867,565,389,0
72,34,-1,0
422,82,293,0
12,2,3,0
35,2,2,NA
44,12,106,0
-1,-1,9,0
22,15,21,0
106,20,-1,0
15,-1,-1,0
2166,485,2108,NA
3,-1,55,0
688,183,140,0
133,77,34,0
72,25,6,0
35,1,-1,0
599,-1,-1,0
3640,1113,7,NA
279,54,1168,0
271,32,245,0
-1,-1,9309,0
101,32,18,0
27,18,3,0
55,6,-1,0
163,5,82,NA
8,30,-1,0
-1,1,-1,NA
86,8,15,NA
-1,2,1,NA
-1,-1,139,0
-1,26,-1,0
-1,-1,3,0
1078,32,43,0
39,10,1,0
4280,250,387,0
64,6,166,NA
1117,159,391,1
-1,2,-1,0
1,-1,40,0
5,7,6,0
23,9,-1,0
-1,-1,40,NA
8,17,-1,0
4,5,3,0
8,8,21,NA
40,2,8,NA
-1,20,-1,0
-1,2,4,0
473,391,5,0
-1,4,-1,0
2,-1,-1,NA
-1,-1,92,NA
-1,10,-1,0
80,5,17,NA
80,22,-1,0
6742,-1,-1,0
-1,-1,2027,0
2971,534,1100,0
7,3,2,NA
809,147,106,0
-1,-1,9,0
-1,134,-1,0
78,28,66,0
5,-1,-1,NA
-1,6,1,0
683,315,604,0
24,5,-1,0
-1,7,-1,0
211,20,109,NA
147,84,27,NA
6,6,-1,0
7,1,-1,0
40,2,8,0
290,75,144,0
37,12,46,NA
3,-1,138,0
189,82,682,NA
5,-1,1,0
-1,-1,793,NA
7,-1,-1,0
133,30,3,0
1117,159,391,0
24,-1,-1,0
-1,145,-1,0
150,80,46,0
191,18,40,0
1,-1,-1,0
120,25,60,0
-1,51,-1,0
279,54,1168,0
13,2,-1,0
30,1,18,0
-1,2,-1,0
33,-1,25,0
-1,1,-1,NA
7,2,-1,0
234,17,6,0
-1,19,-1,0
33,1,18,0
6,4,17,NA
1732,390,1137,1
51,26,-1,0
-1,2,-1,0
87,187,81,0
28,3,-1,0
1,-1,-1,0
-1,6,-1,NA
242,28,22,0
-1,3,1,0
403,156,143,0
12,-1,4,0
66,18,151,0
4,-1,179,0
-1,18,-1,0
-1,2,-1,0
-1,8,-1,0
-1,6,-1,0
440,58,534,0
1,-1,-1,NA
-1,37,-1,0
31,32,235,NA
-1,4,-1,0
160,69,171,0
173,14,302,NA
-1,14,10,0
1,2,-1,0
-1,-1,3,0
5,-1,-1,0
6,-1,52,0
2,3,-1,0
13,6,29,0
-1,8,-1,0
-1,1,-1,0
4,-1,36,0
-1,33,-1,NA
290,75,144,0
468,118,5,0
-1,-1,3,NA
2,3,-1,0
-1,2,-1,0
1,-1,-1,0
57,28,40,NA
-1,1,13,NA
2,-1,-1,0
-1,1,-1,0
403,156,143,0
2,7,41,0
-1,2,27,0
2710,243,952,0
9,-1,162,NA
68,7,-1,0
10,-1,-1,NA
-1,2,1,NA
833,43,55,0
127,38,12,0
147,84,27,0
69,24,8,0
42,3,-1,NA
153,107,7,NA
-1,7,-1,0
4,2,2,1
1,-1,-1,0
-1,-1,15,0
10,-1,-1,0
4843,1591,2247,0
16,4,42,NA
-1,5,-1,0
93,14,190,0
253,10,25,0
-1,-1,7,0
-1,-1,42,0
-1,-1,1,0
1,-1,-1,0
-1,-1,34,0
4,-1,16,NA
-1,3,-1,0
-1,1,-1,NA
39,5,7,NA
-1,2,-1,0
-1,-1,19,0
-1,12,-1,0
-1,-1,33,0
48,43,-1,0
5,-1,1,1
28,6,627,1
3,2,26,1
12,4,-1,1
3505,816,922,NA
6,2,-1,1
2158,620,852,1
184,75,123,1
628,179,63,1
2,-1,-1,1
45,24,13,NA
-1,145,-1,1
504,182,255,1
11821,2679,3035,1
171,49,-1,1
62,21,37,1
569,17,-1,1
1178,273,292,1
15,6,4,1
-1,-1,1,1
14,4,3,1
6177,-1,-1,0
-1,-1,5,0
8716,993,2340,0
9,7,-1,0
66,36,8,0
91,22,19,NA
1769,183,-1,0
-1,-1,10,0
-1,38,7,0
3,-1,-1,0
-1,2,1,0
1117,606,137,NA
-1,1,-1,0
50,-1,66,0
-1,2,-1,NA
-1,-1,26,0
2,-1,-1,0
-1,-1,63,0
18,9,14,0
-1,-1,1,0
-1,-1,6,0
1,8,-1,0
-1,1,34,0
89,14,1,NA
-1,-1,11,0
-1,1,-1,0
231,7,95,0
256,53,44,0
4,-1,-1,0
35,25,11,0
1424,386,322,0
202,3,43,0
4,-1,6,0
167,8,24,0
-1,-1,1217,0
2,7,-1,0
-1,1,-1,0
2,-1,-1,0
59,12,-1,0
-1,8,256,0
228,60,66,0
223,96,199,0
164,29,10,0
-1,4,-1,0
2709,641,508,0
1302,22,494,0
2,-1,-1,0
-1,-1,8,0
44,35,84,0
-1,10,-1,NA
-1,-1,9,0
1457,218,187,0
24,12,1,NA
-1,1,-1,0
-1,-1,2,0
23,-1,15,NA
-1,1,-1,0
4,-1,6,0
-1,-1,9309,NA
-1,1,-1,0
-1,9,1,0
4,-1,65,0
-1,1,-1,0
1,-1,-1,0
-1,28,-1,0
3,-1,-1,NA
17,1,-1,0
35,4,46,0
36,15,17,0
13,22,-1,0
-1,6,1,0
156,22,130,0
33,10,15,0
2,6,-1,0
-1,-1,139,0
1,-1,15,0
-1,2,-1,NA
1,-1,-1,NA
-1,-1,15,0
38,9,26,NA
4,-1,6,0
9,4,3,NA
358,84,206,0
-1,8,-1,0
271,32,245,NA
39,7,21,0
27,4,3,0
4,3,-1,NA
3,3,-1,NA
21,10,25,NA
-1,-1,1,NA
271,59,156,1
-1,11,-1,NA
78,11,16,1
19201,2850,4328,1
2530,490,1557,NA
5,-1,1,1
1,-1,-1,1
-1,6,-1,NA
2212,428,1113,1
4,-1,-1,1
2,1,-1,1
374,-1,-1,1
1,-1,-1,1
1494,305,218,1
44,2,28,1
-1,-1,292,1
39,15,10,1
14,1,-1,1
-1,-1,1,NA
-1,1,-1,0
-1,2,-1,NA
1067,399,924,0
2,17,4,0
142,25,3,0
1,1,-1,0
5,2,-1,0
-1,4,-1,0
110,-1,72,0
2191,368,720,0
19,9,1,0
1,30,1,0
-1,24,-1,0
12,2,3,0
17,8,-1,0
1780,951,2329,0
1750,306,243,NA
38,24,6,0
-1,1,43,0
-1,11,-1,0
1,-1,-1,0
6,3,-1,0
2260,116,281,0
-1,25,-1,0
1,-1,-1,0
-1,38,-1,NA
172,43,33,0
5,2,-1,NA
-1,46,-1,0
10,3,28,NA
-1,1,-1,0
-1,3,-1,0
-1,12,-1,0
-1,42,-1,0
4,8,-1,0
654,-1,-1,0
9,7,-1,NA
40,4,-1,0
1,-1,-1,0
768,162,265,0
-1,-1,6,NA
149,40,2,0
-1,-1,1408,0
-1,1,-1,NA
27,8,54,NA
4,-1,2,0
-1,-1,25,0
-1,-1,2377,0
2,19,-1,0
13,15,-1,0
2958,257,1059,0
67,40,11,0
303,-1,38,0
28,3,-1,0
14,-1,-1,NA
343,26,1,0
23,36,16,0
-1,-1,40,0
-1,-1,54,0
303,44,26,NA
983,-1,3,0
7,-1,35,0
22,4,1,0
5470,-1,-1,0
-1,10,1,0
106,115,84,0
-1,-1,6,0
3,-1,-1,0
18,-1,28,0
104,5,125,0
185,33,44,0
6,3,-1,0
5,6,-1,0
4,8,-1,0
1,-1,-1,0
10,-1,-1,0
3822,-1,38,0
8,8,21,0
12,-1,39,0
38,4,5,0
1,-1,3335,NA
5,13,291,0
534,-1,-1,0
7,-1,-1,0
-1,-1,1,NA
277,113,361,0
-1,38,7,NA
-1,5,-1,0
74,28,-1,NA
7,-1,-1,0
117,14,-1,0
176,65,15,NA
-1,-1,10,0
12,4,-1,0
1,-1,-1,NA
12,4,-1,0
2166,485,2108,0
30,1,18,0
-1,2,-1,NA
2721,-1,-1,0
-1,1,1,0
6,4,13,0
86,36,9,0
-1,5,-1,0
1,-1,-1,0
38,10,47,0
10,2,-1,0
57,27,5,0
-1,-1,13,NA
32,9,-1,0
-1,-1,1,0
36,112,44,NA
3,-1,1448,0
72,31,57,0
95,12,1,0
12,1,-1,0
712,213,41,NA
1,36,13,0
-1,-1,2281,0
93,48,-1,0
121,33,260,NA
199,434,16,0
-1,2,2,0
1,8,1,0
36,-1,-1,NA
249,93,44,0
-1,99,-1,0
35,15,17,0
3,2,1,NA
155,20,76,0
13,16,21,0
7,1,-1,0
379,79,231,0
1117,159,391,0
389,75,151,NA
86,36,9,0
818,293,1551,0
-1,28,-1,0
66,-1,3,0
15,13,3,0
-1,3,6,0
-1,-1,185,0
137,5,1,0
15,65,-1,0
18,7,29,0
20,14,-1,0
-1,-1,1408,0
976,72,547,0
800,16,-1,0
213,101,231,0
74,134,17,0
47,5,34,0
13,-1,-1,0
2,-1,-1,0
8,3,-1,NA
29,2,-1,0
75,54,2,NA
20,1,-1,0
-1,-1,68,0
71,20,4,0
30,6,84,0
66,1,7,0
73,3,1185,0
38,14,7,0
-1,30,-1,0
-1,5,-1,0
-1,18,-1,0
79,7,-1,0
61,-1,15,0
418,203,179,0
-1,4,-1,0
-1,11,-1,0
-1,-1,1,0
16,4,42,0
-1,-1,2,0
78,96,-1,NA
74,46,37,0
-1,5,38,0
-1,-1,1,0
100,314,-1,0
500,105,192,0
89,9,48,0
8,10,-1,0
1,16,4,0
57,27,5,0
146,19,13,NA
98,-1,-1,0
122,45,84,0
-1,12,-1,NA
29,1,5,0
62,5,5,0
44,12,106,NA
4,-1,-1,NA
-1,-1,5,NA
16,-1,23,0
21302,-1,1,0
10,-1,-1,NA
128,22,108,0
2721,-1,-1,0
349,11,78,0
84,12,13,0
35,24,21,0
-1,-1,2,NA
-1,-1,2,0
289,17,-1,0
-1,-1,9309,0
1331,-1,-1,0
36,112,44,NA
43,16,76,0
3,-1,-1,0
87,11,-1,0
3,-1,1448,NA
1,-1,1,0
440,58,534,0
19,6,24,0
3,-1,-1,0
-1,1,-1,NA
15,65,-1,0
28,-1,40,0
2,-1,-1,0
645,154,168,0
-1,-1,4,NA
336,70,244,NA
-1,-1,139,0
4,12,-1,NA
87,4,119,0
-1,15,-1,0
-1,8,-1,0
5,2,2,0
66,44,14,0
-1,1,-1,NA
25,-1,-1,0
-1,3,-1,0
-1,-1,12,0
61,-1,15,0
126,23,405,0
-1,25,-1,0
47,6,56,0
43,16,76,0
1,-1,-1,0
6177,-1,-1,0
150,80,46,0
-1,7,-1,NA
-1,2,1,0
27,8,1,0
11,8,113,0
160,69,171,0
68,-1,-1,0
1,-1,1,0
87,1,19,0
-1,-1,15,0
4280,250,387,0
-1,1,-1,0
198,3,99,NA
24,89,-1,0
164,29,3,0
55,-1,-1,0
2688,398,703,0
5,-1,-1,0
2,3,-1,0
42,2,146,0
129,19,76,NA
10,2,-1,0
-1,-1,60,0
15,65,-1,0
-1,10,51,0
24,18,1,0
136,16,133,0
565,-1,-1,NA
1,-1,-1,0
847,196,568,NA
-1,66,-1,0
3,-1,-1,0
755,167,569,NA
1992,278,186,NA
-1,4,-1,0
160,8,11,0
-1,1,-1,0
272,11,1,0
-1,-1,1,0
16,-1,14,0
-1,2,1,1
-1,2,1,0
9,-1,-1,0
-1,4,-1,NA
8,15,6,0
-1,-1,24,0
242,35,28,0
480,155,244,0
-1,-1,2,0
2,1,-1,0
6,-1,4,0
105,30,-1,0
273,6,407,NA
645,154,168,0
272,11,498,NA
66,36,8,0
-1,1,1,0
20,1,3,0
362,84,654,0
14,5,6,NA
-1,1,-1,0
-1,-1,5,0
160,8,11,0
78,28,66,NA
-1,-1,4,NA
-1,1,-1,NA
1,-1,-1,NA
4,4,-1,0
4,-1,-1,0
-1,3,-1,0
800,16,-1,0
1,-1,-1,0
-1,188,-1,0
3,-1,-1,NA
-1,5,-1,0
-1,13,-1,0
6,1,-1,0
49,-1,4,0
-1,1,-1,NA
255,22,217,NA
-1,318,-1,1
24,33,16,1
11,1,-1,1
256,53,44,1
5368,1001,1584,1
2709,641,508,1
65,11,-1,1
2089,408,302,1
35,25,1,1
3,1,-1,1
-1,25,-1,1
129,19,76,1
2,-1,-1,NA
114,43,6,1
33,2,17,1
71,10,34,0
1,-1,1,NA
-1,1,-1,0
5,7,6,0
-1,-1,47,0
25,5,-1,0
213,101,231,0
66,18,151,0
46,2,3,NA
17,28,1,0
42,13,4,0
10,-1,12,NA
9,1,35,0
279,28,2,0
101,28,76,0
14,1,-1,0
4,-1,65,NA
404,202,337,0
51,48,34,0
-1,12,-1,0
11,1,2,0
-1,-1,11,0
3,-1,-1,0
-1,14,-1,0
-1,6,-1,NA
99,38,36,0
-1,18,-1,0
-1,7,-1,0
2530,490,1557,NA
65,16,1,0
3,2,1,0
5,-1,3,0
-1,-1,8,0
264,33,254,0
-1,-1,1,0
159,22,39,NA
22,4,1,0
-1,-1,10,0
-1,-1,14,0
25,2,6,NA
-1,-1,3,NA
411,108,-1,0
40,19,5,0
21,-1,6,0
-1,6,-1,0
3,-1,-1,0
66,36,8,0
345,45,132,NA
-1,4,-1,0
522,160,20,0
42,13,36,NA
15,2,6,0
-1,14,10,0
-1,-1,10,0
478,14,175,0
3,-1,14,0
154,105,23,0
17,4,2,0
5,-1,4,0
132,152,79,0
-1,3,6,NA
454,208,196,0
163,88,77,0
72,34,-1,0
-1,6,-1,NA
120,22,13,0
-1,1,-1,0
2,6,7,0
9,-1,9,NA
871,272,156,0
386,101,468,0
4,-1,179,NA
-1,-1,1018,0
107,12,15,0
1,17,-1,0
2688,398,703,0
5,5,-1,0
942,59,294,0
38,15,11,NA
184,75,123,0
312,167,52,0
5,49,1,0
35,4,46,0
-1,2,2,NA
376,-1,-1,0
1,-1,-1,0
115,77,517,0
273,6,407,0
469,18,14,NA
2,-1,-1,0
394,46,-1,0
27,4,3,NA
847,196,568,0
263,24,222,0
42,7,-1,0
72,59,4,0
94,20,1,0
3,-1,138,0
3,-1,-1,NA
91,37,1,0
72,31,57,0
-1,1,-1,0
79,24,-1,NA
476,51,49,NA
2661,516,237,0
-1,4,-1,0
51,26,-1,1
1704,686,619,0
178,77,32,NA
23,-1,15,0
92,3,107,0
72,31,57,0
10,-1,5,0
442,93,110,0
-1,-1,158,0
480,155,244,0
8,8,21,0
-1,51,-1,0
-1,4,-1,0
1,-1,-1,0
23,-1,15,0
-1,-1,1,0
-1,7,-1,NA
35,15,17,NA
-1,-1,1,0
-1,-1,2027,0
9,-1,9,0
1077,45,121,0
-1,13,-1,0
3,27,10,0
-1,29,3,0
129,19,76,0
2162,357,197,NA
-1,2,4,1
1,10,36,0
-1,-1,2,0
-1,4,-1,0
99,38,36,0
471,108,29,NA
-1,-1,2063,0
384,418,8,0
8,3,-1,0
9,33,5,0
-1,3,-1,0
-1,-1,2,0
1992,278,186,0
345,45,132,0
440,58,534,0
6,1,19,NA
2162,357,197,0
6,-1,-1,0
6,-1,-1,0
10,3,28,0
31,62,17,0
104,7,33,0
14,-1,8,0
1457,218,187,NA
2,17,4,NA
1,-1,-1,0
1,-1,-1,0
15,1,14,0
-1,-1,1981,0
194,35,-1,0
9,5,6,0
-1,10,-1,NA
177,190,2,0
92,-1,-1,0
28,3,-1,NA
-1,18,-1,0
15,-1,-1,0
-1,11,-1,0
132,41,52,0
56,5,44,0
59,12,-1,0
132,12,-1,0
305,6,-1,0
960,206,123,NA
39,19,4,0
5,2,-1,0
2710,243,952,0
-1,2,1,0
1,-1,-1,0
35,4,9,0
50,97,-1,NA
7,16,36,0
113,28,-1,0
-1,-1,485,0
25,-1,-1,0
21,10,-1,0
-1,12,-1,NA
-1,-1,10,0
-1,10,-1,NA
27,2,24,0
6,-1,-1,0
976,72,547,0
645,154,168,0
-1,8,2,0
7,-1,-1,0
152,32,6,0
-1,8,-1,0
-1,2,-1,0
21,25,-1,0
1117,159,391,0
10,-1,-1,0
2,12,2,NA
-1,8,-1,NA
8049,650,239,0
17,6,1,NA
343,26,1,0
1,-1,-1,0
303,12,11,0
5,13,291,0
-1,9,-1,0
1,-1,-1,0
-1,-1,2063,0
-1,2,-1,0
-1,12,-1,0
411,108,-1,NA
-1,13,1,0
17,4,2,0
38,14,7,0
3,-1,-1,0
-1,-1,193,NA
45,38,-1,0
4,-1,-1,NA
111,7,14,NA
44,6,20,0
1,-1,-1,NA
-1,-1,5,0
-1,38,7,0
42,3,-1,0
-1,14,-1,NA
-1,8,1,1
3,2,1,0
6,-1,4,0
27,3,18,0
242,35,28,0
7,5,11,0
152,-1,60,0
41,13,28,0
-1,1,-1,0
-1,12,-1,NA
1901,132,513,0
-1,4,-1,NA
-1,2,5,NA
2,1,1,0
93,-1,11,0
163,-1,-1,0
35,6,46,NA
-1,1,-1,0
151,23,20,0
-1,19,-1,0
47,17,78,0
-1,-1,469,0
1,1,-1,0
-1,-1,8,NA
-1,2,-1,0
794,136,4,0
10,-1,-1,0
117,14,-1,0
95,12,96,0
3,-1,-1,0
279,54,1168,NA
11,-1,-1,0
1992,278,186,0
100,7,5,0
49,3,33,NA
4,-1,-1,0
1,1,15,0
394,46,-1,0
13,1,-1,0
1,-1,-1,0
2,-1,12,0
12,3,-1,0
-1,-1,18,0
-1,6,-1,0
2,-1,-1,0
-1,-1,2,0
32,12,20,0
-1,1,-1,0
3,25,-1,NA
3640,1113,7,0
19,22,-1,0
-1,-1,4,0
3,23,-1,0
343,26,1,0
-1,23,-1,0
