Sales_Order,STP_Ratio,STP_diff_Ratio,Reseller
2,0,0,0
11,0.0149253731343284,0,0
7,1,0,0
2,1,0,0
57,0.113475177304965,0.0625,0
14,0.25,0,0
29,0,0,0
4,1,0,0
9,0.153846153846154,0,0
5,0.110091743119266,0,0
6,1,0,NA
79,0.647058823529412,0,0
9,0.0294117647058824,0,0
2,1,0,NA
60,0.25,0,0
4,0.486486486486487,0,0
13,1,0,NA
49,0.037037037037037,0,0
25,0.888888888888889,0,0
1,0.027027027027027,0,0
1,0.108087091757387,0,0
89,0.857142857142857,0,0
5,1,0,0
1,1,0.2,NA
80,0.3,0,0
12,0.995753715498938,0,0
1,1,0,0
8,0.0731707317073171,0,0
64,1,0,0
3,1,0,NA
53,1,0,0
1,0,0,0
22,1,0,NA
28,0.0740740740740741,0,0
1,1,0,0
2,0.285714285714286,0,0
3,0.012987012987013,0,0
3,0,0,0
108,0.0625,0,0
211,0.0625,0,0
24,0.0307017543859649,0,0
7,0.125,0,0
6,0.0441176470588235,0,0
2,1,0,0
39,0.521739130434783,0,0
13,0.0704225352112676,0,0
38,0.075,0,0
6,0.04,0,NA
45,0,0,0
1,0.133333333333333,0,0
5,1,0,NA
177,1,0,0
4,1,0,0
163,0,0,0
4,0.376068376068376,0,0
71,0,0,0
74,1,0,NA
53,1,0,0
12,0.0517241379310345,0,0
313,1,0,0
38,0.0344827586206897,0,0
83,1,0,0
9,1,0,NA
38,0.0454545454545455,0,NA
121,0,0,NA
119,1,0,0
12,0,0,0
27,1,0.111111111111111,0
63,0.181818181818182,0,0
15,0.117647058823529,0,0
1,0,0,0
16,0,0,0
22,1,0,NA
61,1,0,0
1,0,0,0
7,0.1280353200883,0.0172413793103448,0
25,1,0,0
6,1,0,0
29,1,0,0
2,1,0,0
13,0.5,0,0
4,1,0,0
87,0.0150753768844221,0.166666666666667,0
48,1,0,NA
25,1,0,0
23,0.25,0,NA
2,0,0,NA
12,0.0517241379310345,0,0
34,0,0,0
12,0.995753715498938,0,0
14,1,0,0
25,1,0,0
16,0.666666666666667,0,0
6,0.115384615384615,0,NA
8,1,0,0
753,0.166666666666667,0,0
11,0.008,0,NA
13,1,0,0
44,0.625,0,0
1,1,0,0
10,0.0280373831775701,0,NA
50,0.166666666666667,0,0
38,0.075,0,0
250,1,0,0
1,0.05,0,0
121,1,0,0
6,1,0,NA
1,1,0,0
4,0,0,0
8,0.0344827586206897,0,0
253,1,0,0
17,0.125,0,0
21,0.0933333333333333,0,0
122,0.954545454545455,0,0
23,0.1,0,0
1,0.0555555555555556,0,0
115,0.00199203187250996,0,0
64,1,0,0
36,0.319444444444444,0,0
15,0.622119815668203,0,NA
48,0.00609756097560976,0,NA
51,0.444444444444444,0,0
110,0.04,0,NA
21,0.0154639175257732,0,0
15,1,0,0
41,1,0,0
2,0,0,NA
13,0,0,0
382,1,0,0
3,1,0,0
250,0.272727272727273,0,0
24,0.928571428571429,0,0
2,0.1,0,0
5,0.143236074270557,0,0
83,1,0,0
68,0.178571428571429,0,0
106,1,0,NA
139,0.727272727272727,0,0
22,1,0,0
38,1,0,NA
129,0.4,0,0
24,0.078125,0,0
1,0,0,NA
25,0.0394736842105263,0,0
87,0.304761904761905,0,0
13,1,0,NA
2,1,0,0
19,1,0,0
44,0.625,0,NA
59,0.166666666666667,0,0
3,0,0,0
23,0.25,0,0
8,1,0,0
24,0.0298507462686567,0,0
2,1,0,NA
18,0.242424242424242,0,NA
108,1,0.25,0
5,1,0,0
40,0.0242424242424242,0,NA
1,1,0,0
4,0.0175054704595186,0,0
67,1,0,0
50,1,0.0555555555555556,0
244,0.05,0,0
7,0,0,0
4,0.0211132437619962,0,0
2,0.264957264957265,0,0
14,0.25,0,NA
2,0.173913043478261,0,0
2,0.833333333333333,0,0
1,1,0,0
19,0.107142857142857,0,NA
4,0,0,0
5,1,0,0
2,1,0,NA
70,1,0,NA
11,0,0,0
4,0,0,0
4,1,0,0
3,0.2,0,0
9,1,0,NA
2,1,0,NA
65,1,0,0
5,1,0,0
18,0.242424242424242,0,0
1,1,0,0
61,0.454545454545455,0,0
3,0.324324324324324,0,0
25,0.140350877192982,0,0
58,0.0769230769230769,0,0
11,1,0,NA
8,0.19047619047619,0,0
660,1,0,0
37,0.141509433962264,0,0
46,1,0,0
7,0.5,0,0
3,1,0,0
4,0.0847457627118644,0,0
10,0.333333333333333,0,0
2,0.00980392156862745,0,NA
7,1,0,0
3,0.0104166666666667,0,0
1,1,0,NA
4,0,0,0
3,1,0,0
9,1,0,0
1,0,0,0
1,0.0889252591380251,0,0
68,1,0,0
64,1,0,NA
1,1,0,0
4,0.0465116279069767,0,0
3,0.166666666666667,0,0
189,1,0,0
1,1,0,0
2,0.0540540540540541,0,0
65,0,0,0
1,0,0,0
1,1,0,NA
35,0.130434782608696,0,NA
20,1,0,0
20,0.9,0,0
6,0,0,0
23,1,0,0
16,0.666666666666667,0,NA
378,0.125,0,0
17,0.5625,0,0
6,1,0,0
6,0.25,0,0
2,1,0,0
1,0.151515151515152,0,0
8,1.375,0,NA
6,1,0,0
30,3.03571428571429,0,0
53,1,0,0
28,0.024390243902439,0,NA
1,0.105263157894737,0,0
21,0,0,0
1,0.7,0,0
14,1,0,NA
3,0,0,NA
4,0.1,0,0
14,1,0,0
7,1,0,0
5,1,0,0
37,1,0,NA
10,0.0377358490566038,0,0
21,0.833333333333333,0,NA
6,0.2,0,0
4,1,0,0
8,0.236574746008708,0,0
5,1,0,0
11,1,0,0
13,1,0,0
3,0.012987012987013,0,0
21,0,0,0
3,1,0,NA
139,1,0,0
5,0,0,0
1,0.5,0,0
5,0,0,NA
218,1,0,0
18,0.0483870967741935,0,0
12,0.995753715498938,0,NA
471,1,0,0
5,0.782608695652174,0,NA
11,1,0,0
65,1,0,0
70,0,0,0
18,1,0,0
60,1,0,0
250,0.272727272727273,0,0
21,0,0,0
1,1,0,0
82,0.0625,0,0
79,0,0,0
13,1,0,0
11,0,0,0
21,1,0,0
163,0,0,0
103,0,0,0
34,0.1,0,NA
1110,0,0,0
64,0,0,0
16,0.0344827586206897,0,NA
25,0.888888888888889,0,NA
22,0.0743801652892562,0,0
471,1,0,0
282,0.154320987654321,0,0
1,1,0,0
8,1,0,0
43,0,0,NA
17,1,0,0
37,0.333333333333333,0,0
3,1.20689655172414,0,NA
232,0.258823529411765,0,0
135,1,0,NA
194,1,0,NA
81,1,0,0
6,0.04,0,0
65,0.0909090909090909,0,0
2,1,0,NA
6,0.179640718562874,0.0333333333333333,0
214,0.568965517241379,0.151515151515152,0
13,0.251798561151079,0,0
2,0.88,0.0227272727272727,0
26,0,0,0
53,0.0681818181818182,0,0
2,0.0540540540540541,0,0
6,0,0,0
42,0.0714285714285714,0,NA
72,1,0,0
12,0.916666666666667,0,0
3,1,0,NA
37,0.333333333333333,0,0
24,1,0,0
5,0.037037037037037,0,0
6,0.115384615384615,0,0
2,0,0,0
164,0.0826446280991736,0,0
85,0.916666666666667,0,0
267,0,0,0
39,1,0,0
42,0.222222222222222,0,0
8,1,0,NA
5,0.143236074270557,0,0
126,1,0,0
24,0.078125,0,NA
77,0.756756756756757,0,0
185,0.909090909090909,0,0
5,0,0,0
2022,1,0,0
57,0.8,0,0
6,0.4,0,0
4,0,0,0
2,1,0,0
631,1,0,0
3,0.647058823529412,0,0
67,1,0,0
194,1,0,0
31,1,0,0
1,0,0,0
3,1,0,NA
2,0.1,0,NA
250,0.272727272727273,0,0
33,1,0,0
135,1,0,0
7,0.111111111111111,0,0
8,0.428571428571429,0,NA
33,0.466666666666667,0,0
2,0,0,0
12,0.277777777777778,0,0
28,1,0,0
4,0,0,0
593,0,0,NA
20,0,0,0
115,0.00199203187250996,0,0
41,0.0967741935483871,0,0
19,0.0816326530612245,0,0
7,0.2,0,0
54,0.024390243902439,0,0
351,2,0.5,NA
200,1,0,0
89,0,0,0
359,0.285714285714286,0,0
85,1,0,0
13,0,0,0
13,0.142857142857143,0,0
40,0,0,NA
6,0.272727272727273,0,0
1,0,0,NA
37,0.356521739130435,0,NA
3,1,0,NA
39,1,0,0
4,1,0,0
1,1,0,0
65,0,0,0
6,1,0,0
446,0.166666666666667,0,0
13,0.578947368421053,0,NA
228,1,0,1
1,1,0,0
15,1,0,0
1,1,0,0
17,1,0,0
26,0,0,NA
13,0.251798561151079,0,0
6,1,0,0
26,0.0465116279069767,0,NA
13,0.04,0,NA
5,1,0,0
2,0.411764705882353,0,0
108,0,0,0
2,0,0,0
2,1,0,NA
18,1,0,NA
4,1,0,0
19,0.284313725490196,0.0689655172413793,NA
20,0.210526315789474,0,0
813,0.0909090909090909,0,0
78,0.294117647058824,0,0
284,0.214285714285714,0,0
5,1,0,NA
70,0.0727272727272727,0,0
6,0.5,0,0
1,2,0,0
19,0.043956043956044,0,0
5,0.5,0,NA
2,1,0,0
240,0.236363636363636,0,0
5,1,0,0
2,1,0,0
66,1,0,NA
70,1,0,NA
11,1,0,0
6,0.0614617940199336,0,0
13,0.04,0,0
86,0.307692307692308,0,0
32,0.5,0,NA
39,0.521739130434783,0,0
47,1,0,NA
5,0,0,0
85,0.916666666666667,0,NA
4,1,0,0
38,1,0,0
228,1,0,0
13,0.137010676156584,0,0
39,1,0,0
53,1,0,0
28,0.476190476190476,0,0
1,0.242424242424242,0,0
26,1,0,0
21,0.0526315789473684,0,0
200,1,0,0
4,0.241379310344828,0.142857142857143,0
5,0,0,0
1,0,0,0
23,0,0,0
1,1,0,NA
4,0,0,0
89,0.04,0,0
6,0,0,0
5,0.0731707317073171,0,0
5,1,0,NA
131,0.0476190476190476,0,1
9,0,0,0
2,0.0172413793103448,0,0
192,0.243243243243243,0,0
4,0.111111111111111,0,0
1,0.0597014925373134,0,0
3,1,0,NA
69,0,0,0
2,1,0,0
291,0.666666666666667,0,0
6,1,0,0
21,0.0422535211267606,0,0
7,1,0,0
13,0.227272727272727,0,0
1,0,0,0
2,0.171597633136095,0,0
3,0.012987012987013,0,0
86,0.119289340101523,0,0
1,1,0,NA
16,1,0,0
79,0,0,NA
1,0.166666666666667,0,0
7,0.5,0,0
52,0.666666666666667,0,NA
8,0.117647058823529,0,0
3,0,0,0
2,0.181818181818182,0,0
5,0.5,0,0
23,0.0754716981132075,0,0
1,1,0,0
5,0.0512820512820513,0,0
6,1,0,0
1,0,0,0
6,0.0441176470588235,0,0
12,1,0,NA
86,0.307692307692308,0,0
228,1,0,0
1,1,0,NA
3,1,0,0
1,1,0,0
1,0,0,0
91,0,0,NA
11,0,0,NA
2,1.23255813953488,0,0
1,1,0,0
291,0.666666666666667,0,0
13,1,0,0
5,1,0,0
80,0.625,0,0
29,0,0,NA
4,0,0,0
10,0.333333333333333,0,NA
1,0.0166666666666667,0,NA
49,0,0,0
19,1,0,0
70,1,0,0
15,1,0,0
8,0.973684210526316,0,NA
45,0.100917431192661,0,NA
3,0.0952380952380952,0,0
4,0,0,1
1,0.0130111524163569,0,0
9,0.0294117647058824,0,0
10,0.333333333333333,0,0
753,0.166666666666667,0,0
5,0.166666666666667,0,NA
1,0,0,0
48,1,0,0
41,1,0,0
5,0,0,0
8,0.210526315789474,0,0
1,0.105590062111801,0,0
1,1,0,0
17,1,0,0
4,0.625,0,NA
1,0.0363636363636364,0,0
1,1.5,0,NA
2,0,0,NA
1,0.15625,0,0
5,1,0,0
2,1,0,0
11,1,0,0
36,0.5,0,0
5,0,0,1
218,1,0,1
16,0,0,1
5,1,0,1
512,1,0,NA
1,0,0,1
587,0.25,0,1
91,1,0,1
105,1,0,1
2,1,0,1
17,1,0,NA
39,1,0,1
244,0.25,0,1
2908,1,0,1
2,1,0,1
4,1,0,1
2,1,0,1
154,0.240506329113924,0.0526315789473684,1
13,0.0865384615384615,0,1
1,1,0,1
11,0.2,3,1
378,0.125,0,0
1,0,0,0
839,0.428571428571429,0,0
11,0.101941747572816,0.142857142857143,0
16,0.666666666666667,0,0
33,1.33333333333333,0,NA
72,1,0,0
8,1,0,0
3,0.4,0,0
3,0,0,0
3,1,0,0
91,0,0,NA
1,0.5,0,0
27,1,0,0
2,1,0,NA
4,0,0,0
2,1,0,0
8,1,0,0
31,0.181818181818182,0,0
1,0.105590062111801,0,0
4,0.333333333333333,0,0
3,0.428571428571429,0,0
14,0.25,0,0
28,1,0,NA
3,0,0,0
1,0,0,0
41,0,0,0
36,0.0540540540540541,0,0
1,0.1,0,0
40,0,0,0
302,0.138528138528139,0,0
44,1,0,0
4,1,0,0
27,0.0327868852459016,0,0
75,0.818181818181818,0,0
5,0.5,0,0
1,0,0,0
2,0.1,0,0
19,1,0,0
35,0,0,0
60,1,0,0
170,1,0,0
25,1,0,0
4,1,0,0
321,0.0862068965517241,0,0
75,0,0,0
1,1,0,0
3,0.228571428571429,0,0
4,1,0,0
4,0.024,0,NA
7,0,0,0
162,1,0,0
20,0.0952380952380952,0,NA
1,0.523809523809524,0,0
2,0.264957264957265,0,0
15,0.0966666666666667,0,NA
1,0,0,0
4,1,0,0
359,0.285714285714286,0,NA
1,0.0421052631578947,0,0
5,1,0,0
18,1,0,0
1,0.523809523809524,0,0
1,1,0,0
7,0.333333333333333,0,0
3,0,0,NA
3,0,0,0
10,0.2,0,0
2,0.197183098591549,0,0
12,0.0517241379310345,0,0
2,1,0,0
31,0.142857142857143,0,0
2,0,0,0
1,0.129496402877698,0,0
39,1,0,0
8,0.0344827586206897,0,0
1,0,0,NA
1,0.647058823529412,0,NA
9,0.0294117647058824,0,0
4,0.878378378378378,0,NA
4,1,0,0
1,0.0882352941176471,0,NA
135,1,0,0
1,0.0925925925925926,0,0
89,0,0,NA
9,0.111111111111111,0,0
9,1,0,0
3,0.307692307692308,0.125,NA
5,1,0,NA
35,0.0769230769230769,0,NA
1,1,0,NA
92,0,0,1
5,1,0,NA
37,0.0178571428571429,0,1
1833,1,0,1
292,0,0,NA
5,0,0,1
1,1,0,1
5,0.110091743119266,0,NA
601,0.571428571428571,0,1
3,1,0,1
3,0.2,0,1
37,0.141509433962264,0,1
1,0,0,1
379,1,0,1
9,1,0,1
36,0.319444444444444,0,1
20,0.0337078651685393,0,1
6,0.0355329949238579,0,1
1,0,0,NA
1,0,0,0
2,1,0,NA
189,1,0,0
10,0.166666666666667,0,0
43,0.5,0,0
2,0.365384615384615,0,0
2,1,0,0
1,0.202797202797203,0.0344827586206897,0
34,0.0526315789473684,0,0
502,1,0,0
14,1,0,0
12,1,0,0
8,0,0,0
7,0.111111111111111,0,0
10,0.125,0,0
707,0.181818181818182,0,0
267,1,0,NA
22,1,0,0
18,1,0,0
3,1,0,0
1,0,0,0
3,0.647058823529412,0,0
250,1,0,0
5,0,0,0
1,0.14413407821229,0,0
12,0.995753715498938,0,NA
67,0.0672268907563025,0,0
2,1,0,NA
16,1,0,0
1,0.480769230769231,0,NA
1,0,0,0
1,1,0,0
6,0.578947368421053,0,0
14,0.5,0,0
6,0.0136986301369863,0,0
83,1,0,0
5,1,0,NA
8,0,0,0
1,0.2,4,0
119,1,0,0
4,1,0,NA
57,0.113475177304965,0.0625,0
371,1,0,0
1,0.145833333333333,0,NA
4,1,0,NA
5,0.627450980392157,0,0
12,0.428571428571429,0.333333333333333,0
241,0,0,0
10,0.878296146044625,0,0
13,0,0,0
689,0,0,0
32,1,0,0
76,0,0,0
4,0.111111111111111,0,0
8,1,0,NA
108,0.0552763819095477,0,0
43,0.0288065843621399,0,0
26,0,0,0
33,0.25,0,0
73,0.0352112676056338,0,NA
94,0,0,0
5,1,0,0
13,1,0,0
1286,1,0,0
7,1,0,0
68,0.5,0,0
6,0,0,0
1,0.292134831460674,0.00654664484451719,0
17,1,0,0
50,1,0.0555555555555556,0
36,1,0,0
6,0.19047619047619,0,0
9,1,0,0
6,0.0136986301369863,0,0
1,0.242424242424242,0,0
2,0,0,0
218,0.363636363636364,0,0
26,0.0465116279069767,0,0
19,1,0,0
10,1,0,0
186,1,0,NA
105,1,0,0
41,0,0,0
5,0.143236074270557,0,0
1,0.072562358276644,0.03125,NA
142,1,0,0
3,0.4,0,NA
1,0.333333333333333,3,0
28,0.25,0,NA
3,0.0158730158730159,0,0
17,1,0,0
67,0,0,NA
2,1,0,0
5,1,0,0
1,0.325714285714286,0,NA
5,1,0,0
593,0,0,0
5,0,0,0
2,1,0,NA
128,1,0,0
2,1.66666666666667,0,0
6,0.790697674418605,0,0
57,1,0,0
2,1,0,0
1,0,0,0
9,1,0,0
6,0.0952380952380952,0,0
31,1,0,0
6,0.571428571428571,0,NA
10,0.0441176470588235,0,0
2,1,0,0
34,1,0,NA
112,0.107142857142857,0,0
40,1,0.2,0
14,0,0,0
1,1,0,0
152,1,0,NA
17,0.0169491525423729,0,0
148,0,0,0
45,1,0,0
72,0.765151515151515,0,NA
142,0,0,0
2,0,0,0
4,1,0,0
5,0.5,0,NA
26,0.4,0,0
75,0.0714285714285714,0,0
20,0.142857142857143,0,0
1,0,0,NA
55,0.0357142857142857,0,0
15,1,0,0
3,1,0,0
122,0.954545454545455,0,0
228,1,0,0
80,1,0,NA
57,1,0,0
234,0,0,0
7,0.333333333333333,0,0
8,1,0,0
25,0.131821403260099,0.00537634408602151,0
4,0,0,0
127,0,0,0
19,1,0,0
33,0.142857142857143,0,0
5,0.0416666666666667,0,0
12,1,0,0
371,1,0,0
252,0,0,0
76,1,0,0
113,0.0487804878048781,0,0
26,1,0,0
8,1,0,0
5,1,0,0
2,0.0952380952380952,0,0
3,0.102040816326531,0,NA
14,0.5,0,0
12,1,0,NA
8,0,0,0
40,0.0242424242424242,0,0
11,0,0,0
13,0.1,0,0
21,0.161290322580645,0,0
174,0.0833333333333333,0,0
25,1,0,0
11,1,0,0
1,0,0,0
7,1,0,0
19,1,0,0
24,0.785714285714286,0,0
57,0.8,0,0
1,0,0,0
3,1,0,0
1,0,0,0
5,0.166666666666667,0,0
2,0.264957264957265,0,0
26,0.0769230769230769,0,NA
38,1,0,0
21,0.875,0,0
1,1,0,0
41,0.0333333333333333,0,0
37,1,0,0
37,1,0,0
2,1,0,0
18,0.0526315789473684,0,0
31,1,0,0
22,0.8,0,NA
17,0.857142857142857,0,0
57,1,0,0
9,1,0,NA
10,1,0,0
25,1,0,0
33,0.466666666666667,0,NA
2,1,0,NA
1,0,0,NA
11,0,0,0
2022,1,0,0
10,0.333333333333333,0,NA
18,0.107142857142857,0,0
128,1,0,0
88,0.122171945701357,0,0
27,1,0,0
