Sales_Order,STP_Ratio,STP_diff_Ratio,Reseller
17,0.2,0,0
2,0.333333333333333,0,NA
2,1,0,0
43,0.0156521739130435,0,0
359,0.285714285714286,0,0
72,1,0,0
34,1,0,NA
58,1,0,0
3,0,0,0
45,0,0,0
112,0.107142857142857,0,NA
2,0.146596858638743,0,0
86,0.119289340101523,0,0
14,0,0,0
1,0.666666666666667,0,0
1,0,0,NA
33,0.142857142857143,0,0
4,0.0740740740740741,0,0
2,0.00980392156862745,0,0
111,0.0641711229946524,0,0
4,1,0,NA
120,1,0,NA
39,1,0,0
4,0.0689655172413793,0,NA
24,0.0298507462686567,0,0
8,0.0769230769230769,0,0
2,0.171597633136095,0,0
3,0.0465116279069767,0,0
38,0.111111111111111,0,0
1,0,0,NA
12,0.194444444444444,0,0
1,0.216216216216216,0,0
1,0.0178571428571429,0,0
24,0.785714285714286,0,0
57,1,0,0
5,0,0,0
16,1,0,0
58,1,0,0
1,1,0,0
378,0.125,0,0
53,1,0,0
4,1,0,NA
3,1,0,0
31,0,0,0
26,0.342857142857143,0,0
7,0.5,0,0
9,1,0,0
2,0.146596858638743,0,0
18,1,0,0
9,0.0294117647058824,0,0
446,0.166666666666667,0,0
1,0.0430622009569378,0,0
39,0.102941176470588,0,NA
20,0,0,0
37,1,0,0
5,0.28125,0,0
515,0.333333333333333,0,0
2,1,0,0
3,1,0,0
48,0.00609756097560976,0,0
71,0,0,NA
5,1,0,0
15,0.117647058823529,0,0
33,0.142857142857143,0,0
30,0.181818181818182,0,0
9,1,0,0
32,1,0,0
24,0.0307017543859649,0,NA
1,0.279569892473118,0,0
157,0.91304347826087,0,NA
28,0.5,0,0
1,1,0,0
209,0.434782608695652,0,NA
77,1,0,NA
2,1,0,0
25,1,0,0
1,1,0,0
11,1,0,0
1,0.2,0,0
6,0.25,0,0
3,1,0,1
1,1,0,0
1,1,0,0
2,1,0,NA
6,1,0,0
19,0.230769230769231,0,0
49,0.4,0,0
135,0.766666666666667,0,0
2,1,0,0
3,0.2,0,0
4,0.197183098591549,0,0
30,0,0,0
38,0.0714285714285714,0,NA
111,0.0641711229946524,0,0
208,0,0,NA
16,0.666666666666667,0,0
2,1,0,0
6,0,0,0
46,0.0666666666666667,0,0
10,0,0,NA
1,0,0,0
1,0,0,0
25,1,0,0
19,0.043956043956044,0,NA
2,0.0606060606060606,0,NA
1,0,0,NA
1,0,0,NA
3,1,0,0
2,1,0,0
1,0,0,0
76,1,0,0
1,0,0,0
80,0.3,0,0
1,1,0,NA
3,0,0,0
8,0,0,0
1,0.0889252591380251,0,0
11,0.008,0,0
1,1,0,NA
102,1,0,NA
71,1,0,1
12,1,0,1
6,0.0714285714285714,0,1
36,0.0540540540540541,0,1
1507,0.15,0,1
321,0.0862068965517241,0,1
9,0.153846153846154,0,1
259,1,0,1
25,0.0394736842105263,0,1
2,0,0,1
5,0,0,1
71,0,0,1
1,1,0,NA
36,0,0,1
8,0.0344827586206897,0,1
33,1,0,0
2,1,0,NA
1,1,0,0
1,1,0,0
9,0.375,0,0
5,0.0655737704918033,0,0
113,0.0487804878048781,0,0
21,0.0422535211267606,0,0
20,1,0,NA
8,0.0731707317073171,0,0
29,0.0202702702702703,0,0
6,0.181818181818182,0,NA
10,0.0327868852459016,1.5,0
43,0.0495049504950495,0,0
67,1,0,0
4,1,0,0
18,1,0,NA
122,0,0,0
14,0.4,0,0
4,0.376068376068376,0,0
4,0.421052631578947,0,0
3,0,0,0
2,0,0,0
6,0,0,0
4,0.333333333333333,0,NA
42,0.0714285714285714,0,0
5,0.343283582089552,0,0
4,0.0555555555555556,0,0
292,0,0,NA
60,0,0,0
1,0,0,0
5,1,0,0
3,0.228571428571429,0,0
58,0,0,0
1,0.0666666666666667,0,0
51,1,0,NA
13,1,0,0
8,0,0,0
5,0.181818181818182,0,0
13,1,0,NA
1,0.166666666666667,0,NA
82,1,0,0
5,0.218181818181818,0,0
11,1,0,0
3,0.012987012987013,0,0
2,0.88,0.0227272727272727,0
16,0.666666666666667,0,0
87,0.0150753768844221,0.166666666666667,NA
1,0.5,0,0
172,1,0,0
12,0,0,NA
12,0.0579710144927536,0,0
8,0.117647058823529,0,0
2,1,0,0
53,1,0,0
11,1,0,0
107,0.945945945945946,0,0
7,0.3625,0,0
4,0.486486486486487,0,0
103,1,0,0
4,0,0,NA
53,0.0857142857142857,0,0
60,0.111111111111111,0,0
33,1,0,0
6,1,0,NA
24,1,0,0
1,0.523809523809524,0,0
8,0.333333333333333,0,0
12,0.0462962962962963,0,NA
61,0.454545454545455,0,0
62,0.0638297872340425,0,0
7,1,0,NA
119,1,0,0
35,1,0,0
4,0,0,0
515,0.333333333333333,0,0
7,0.336842105263158,0,0
222,0.163265306122449,0,0
37,0,0,NA
91,1,0,0
68,0.0116279069767442,0,0
18,0.0483870967741935,0,0
10,0.2,0,0
2,0,0,NA
88,1,0,0
1,0.242424242424242,0,0
49,0,0,0
38,0.0714285714285714,0,0
82,1,0,NA
2,0.0394736842105263,0,0
35,0,0,0
9,1,0,NA
157,0.91304347826087,0,0
35,0.03470715835141,0,0
11,0.777777777777778,0,0
32,1,0,0
43,0.0289855072463768,0,0
39,0.521739130434783,0,0
1,0,0,NA
60,0.857142857142857,0,0
40,1,0.2,0
1,0,0,0
25,0.140350877192982,0,NA
164,0.0826446280991736,0,NA
336,0.2,0,0
2,0,0,0
9,0,0,1
441,0.0941176470588235,0,0
111,1,0,NA
15,0.0966666666666667,0,0
21,1,0,0
40,1,0.2,0
6,0,0,0
69,0.12,0,0
42,0.222222222222222,0,0
135,0.766666666666667,0,0
26,0.0465116279069767,0,0
21,0.0526315789473684,0,0
1,1,0,0
1,0,0,0
15,0.0966666666666667,0,0
1,1,0,0
2,0,0,NA
20,0.142857142857143,0,NA
1,0,0,0
78,0.294117647058824,0,0
12,0.0462962962962963,0,0
82,0.0625,0,0
2,1,0,0
27,1,0,0
19,0.0272108843537415,0,0
71,0,0,0
288,1,0,NA
2,0.411764705882353,0,1
39,0.416666666666667,0,0
2,1,0,0
1,0.0333333333333333,0,0
42,0.0714285714285714,0,0
139,0.727272727272727,0,NA
293,1,0,0
244,0.05,0,0
3,0.102040816326531,0,0
24,0,0,0
3,1,0,0
2,0.264957264957265,0,0
77,1,0,0
87,0.0150753768844221,0.166666666666667,0
86,0.119289340101523,0,0
21,0.00826446280991736,0,NA
288,1,0,0
4,1,0,0
4,1,0,0
1,0.480769230769231,0,0
22,0,0,0
28,1,0,0
6,0,0,0
162,1,0,NA
10,0.166666666666667,0,NA
1,0,0,0
1,0,0,0
5,1,0,0
101,0.0618556701030928,0,0
28,0.024390243902439,0,0
8,0.3,0,0
8,0.125,0,NA
77,1,0,0
1,0,0,0
4,0.111111111111111,0,NA
13,0.227272727272727,0,0
4,0,0,0
3,1,0,0
55,1,0,0
11,0,0,0
19,1,0,0
38,0.075,0,0
58,0.181818181818182,1.3125,0
115,0.133333333333333,0,NA
28,0.1,0,0
6,0.04,0,0
80,0.625,0,0
1,0.0166666666666667,0,0
1,0.0588235294117647,0,0
16,0.230769230769231,0,0
38,0,0,NA
32,0,0,0
6,0,0,0
37,0.0746268656716418,0,0
3,1,0,0
11,0,0,0
3,1,0,NA
6,1,0,0
9,0.05,1,NA
11,0.0454545454545455,0,0
3,1,0,0
252,0,0,0
111,0.0641711229946524,0,0
7,1,0,0
4,1,0,0
15,0.5,0,0
8,1,0,0
2,0,0,0
22,1,0,0
228,1,0,0
10,0.333333333333333,0,0
5,1,0,NA
7,0.0588235294117647,0,NA
328,0,0,0
4,0.333333333333333,0,NA
108,0.0552763819095477,0,0
1,1,0,0
62,0.5,0,0
105,1,0,0
6,0.115384615384615,0,0
1,0,0,0
293,1,0,0
1,0.798076923076923,0,0
2,1,0,0
82,1,0,NA
5,0,0,0
7,1,0,0
25,1,0,0
2,1,0,0
48,1,0.0357142857142857,NA
29,0,0,0
3,1,0,NA
27,1,0,NA
19,1,0,0
1,0.0476190476190476,0,NA
3,1,0,0
3,0.4,0,0
8,0.973684210526316,0,0
4,1,0,NA
6,0.179640718562874,0.0333333333333333,1
1,0,0,0
4,0.197183098591549,0,0
18,0.0645161290322581,0.75,0
49,0.4,0,0
4,0.733333333333333,0,0
24,0.846153846153846,0.0606060606060606,0
41,1,0,0
1,0,0,0
4,0.888888888888889,0,NA
282,0.154320987654321,0,0
2,0.181818181818182,0,NA
6,0,0,NA
1,0.4,0,0
22,0.0743801652892562,0,0
20,1,0,0
20,1.5,0,NA
1,0.145833333333333,0,0
24,0.5,0,0
5,0.8,0,0
15,0.5,0,0
6,0.196969696969697,0,0
2,0.333333333333333,0,0
3,0.228571428571429,0,NA
2,1,0,0
106,1,0,0
10,0.333333333333333,0,0
17,1,0,0
46,1,0,0
2,1,0,0
200,1,0,NA
1,0,0,0
77,1,0,0
34,0.1,0,0
18,0,0,NA
2,1,0,0
6,0.2,0,0
35,0,0,0
2,0.307692307692308,0,0
1,1,0,0
7,0,0,0
3,0.0465116279069767,0,0
18,0.242424242424242,0,0
3,1,0,0
1,0,0,0
1,1,0,0
7,0,0,0
1,0.222222222222222,0,0
4,1,0,NA
351,2,0.5,0
3,0.0769230769230769,0,0
4,0,0,0
10,1,0,0
108,0.0552763819095477,0,0
8,0,0,0
5,0.217391304347826,0,0
1,0.028735632183908,0,0
19,0.0816326530612245,0,0
2908,1,0,NA
1,0,0,1
3,0.0576923076923077,0,1
2,0,0,1
1,0,0,1
53,0.0681818181818182,0,1
43,0.161764705882353,0,1
8,1,0,1
2,0.878378378378378,0.00769230769230769,1
40,0.0242424242424242,0,NA
11,0,0,1
5,0,0,1
26,0.0769230769230769,0,1
1411,0.218181818181818,0,NA
148,1,0,1
3,1.20689655172414,0,1
9,0.348837209302326,0,1
15,1,0,1
162,1,0,1
1,0,0,1
25,1,0,1
67,1,0,1
48,1,0.0357142857142857,0
12,0.428571428571429,0.333333333333333,0
1,0.142857142857143,0,0
1,0.138709677419355,0,0
707,0.181818181818182,0,0
26,1,0,NA
1,0.37037037037037,0,0
2,1,0,NA
31,0.181818181818182,0,NA
1,0.0518867924528302,0.0909090909090909,0
9,1,0,0
67,0.105263157894737,0,0
43,0,0,0
1,1,0,0
19,0.05,0,0
1,0,0,NA
95,0.137931034482759,0,0
25,1,0,0
22,0,0,NA
188,0.2,0,0
6,1,0,0
6,0.0614617940199336,0,0
1,1,0,NA
46,0.0666666666666667,0,0
8,0.333333333333333,0,NA
2,1,0,0
1,0.108087091757387,0,NA
2,1,0,NA
1,0,0,NA
9,0.111111111111111,0,0
24,0.078125,0,0
16,0.4,0,0
240,0.236363636363636,0,0
2,1,0,0
2,1,0,NA
4,0.142857142857143,0,0
10,0,0,0
8,0,0,0
5,1,0,NA
40,0,0,0
27,1,0,0
3,0.556962025316456,0,0
1,1,0,0
8,0.0114942528735632,0,0
1,0,0,0
59,0.166666666666667,0,0
4,0.072289156626506,0,0
8,0.19047619047619,0,0
3,0.0609756097560976,0,0
1,0.028735632183908,0,NA
1,1,0,0
3,1,0,0
128,1,0,0
1110,0,0,0
16,0.209424083769634,0,0
192,0.243243243243243,0,0
37,0.141509433962264,0,NA
1,0.25,0,0
4,0.0211132437619962,0,NA
2,0,0,1
179,1,0,1
218,1,0,1
33,1,0,1
21,0.0258620689655172,0,1
18,1,0,1
16,0,0,1
5,1,0,1
30,1,0,1
38,0.075,0,NA
641,0.134453781512605,0,1
60,0.142857142857143,0,1
1,0,0,1
1,0.5,0,1
25,1,0,1
72,0,0,NA
4,1,0,NA
61,0.454545454545455,0,1
2,1,0,1
4,0,0,1
1,0.105590062111801,0,1
1,0.05,0,NA
587,0.25,0,0
31,0,0,0
3,0,0,0
80,0.3,0,0
43,1,0,0
45,0.0810810810810811,0,0
10,0.0491803278688525,0,0
6,1,0,0
1,0.1,0,0
12,0.5,0,NA
16,0.0344827586206897,0,0
6,1,0,0
564,0,0,NA
26,0.222222222222222,0,NA
87,0.0150753768844221,0.166666666666667,NA
45,0.117073170731707,0.0416666666666667,0
1,1,0,0
3,0.276315789473684,0,0
17,0.0625,0,0
14,0.671641791044776,0,NA
7,1,0,0
188,0.2,0,0
1,1,0,0
50,0.166666666666667,0,NA
12,1,0,0
839,0.428571428571429,0,0
5,0.5,0,0
37,0,0,0
4,1,0,0
57,0.571428571428571,0,0
53,1,0,0
26,0,0,NA
2,0,0,0
3,0.0126582278481013,0,NA
4,1,0,0
22,0.0303030303030303,0,0
19,1,0,0
179,1,0,NA
108,0.0552763819095477,0,0
7,0.333333333333333,0,0
1,1,0,0
10,0,0,0
13,1,0,0
86,0.307692307692308,0,0
37,1,0,NA
72,0.25,0,NA
471,1,0,NA
1,0.202797202797203,0.0344827586206897,0
13,0.137010676156584,0,0
8,0.333333333333333,0,0
26,1,0,0
67,1,0,0
20,1,0,0
5,0,0,0
49,0,0,0
76,0,0,0
63,0.0454545454545455,0,0
4,1,0,0
2,0,0,0
5,1,0,0
6,1,0,0
267,1,0,0
82,0.0625,0,0
2,0,0,0
60,1,0,0
1,0.129496402877698,0,0
213,0.96969696969697,0,0
3,0,0,0
23,0.0754716981132075,0,0
62,1,0,NA
10,0,0,0
2,0,0,0
43,0.0289855072463768,0,NA
101,1,0,0
41,0.0967741935483871,0,NA
63,0,0,NA
81,1,0,NA
21,0.409090909090909,0,0
68,0.5,0,0
13,1,0,NA
1,0,0,0
351,1,0,0
1,0,0,0
11,0.0149253731343284,0,0
30,0,0,0
41,1,0,NA
244,0.25,0,0
378,0.125,0,0
12,0.5,0,NA
7,0.0408163265306122,0,0
7,0.0588235294117647,0,NA
38,0.0344827586206897,0,0
3,0,0,0
10,0.0263157894736842,0,0
1,0.456656346749226,0,0
97,1,0,0
29,1,0,NA
194,1,0,0
125,0,0,NA
8,1,0,0
302,0.138528138528139,0,0
103,0,0,0
13,1,0,0
21,1,0,NA
50,1,0.0555555555555556,0
1,0.15625,0,0
2,0.0952380952380952,0,NA
660,1,0,0
112,0.194444444444444,0,0
11,0.0149253731343284,0,0
17,0.0625,0,0
1,0,0,0
58,0,0,0
57,0.571428571428571,0,0
8,0.0344827586206897,0,NA
26,0.222222222222222,0,0
79,1,0,0
170,1,0,0
1,1,0,NA
2,1,0,0
13,0.0704225352112676,0,0
5,0.8,0,NA
28,1,0,0
1,0.469135802469136,0,NA
152,0.811320754716981,0,0
1,0.072562358276644,0.03125,0
1,0.0555555555555556,0,0
55,0.125,0,0
25,1,0,0
3,1,0,0
85,0,0,0
250,1,0,NA
10,1,0,0
38,1,0,0
8,1,0,0
22,1,0,0
87,0.0150753768844221,0.166666666666667,0
24,0.5,0,0
1,0.5,0,0
1,0,0,0
39,1,0,NA
16,0.666666666666667,0,NA
5,0,0,0
29,0.0202702702702703,0,0
8,0.0454545454545455,0,NA
1,0,0,0
63,0.181818181818182,0,NA
110,0.04,0,NA
19,0.148648648648649,0,0
7,0.037037037037037,0,0
6,1,0,0
4,0,0,0
3,0,0,NA
12,0.916666666666667,0,0
1,0.108087091757387,0,0
2,1,0,0
14,0.0150753768844221,0,0
9,1.09090909090909,0.0416666666666667,0
71,0,0,0
88,1,0,0
1,0.0363636363636364,0,0
80,0.789473684210526,0,0
1,0.0430622009569378,0,NA
1,0,0,NA
82,1,0,NA
53,1,0,0
4,1,0,NA
86,0.307692307692308,0,NA
4,1,0,0
5,0,0,0
23,0.0857699805068226,0,0
23,0,0,NA
2,1,0,0
1,0,0,0
6,1,0,0
5,0.5,0,0
8,1,0,0
2,0,0,0
38,0.0714285714285714,0,NA
13,0,0,NA
29,1,0,0
19,0.107142857142857,0,0
77,0,0,0
13,1,0,NA
7,1,0,0
23,0.00606060606060606,0,0
62,0.0638297872340425,0,0
27,1,0,0
5,0.210526315789474,0,0
32,1,0,0
8,0.0769230769230769,0,0
5,0.0731707317073171,0,0
1,0.119402985074627,0,0
32,0.230547550432277,0,0
686,0.191489361702128,0,0
20,0.0952380952380952,0,0
6,0,0,0
1,1,0,NA
5,0.037037037037037,0,0
11,0,0,0
25,1,0,0
38,1,0,NA
1,0.151515151515152,0,NA
6,1,0,NA
118,0,0,0
4,0,0,0
32,0.173913043478261,0,0
11,1,0,0
26,1,0,NA
631,1,0,0
1,1,0,0
55,0.0357142857142857,0,0
16,1,0,0
18,1,0,0
6,0.0943396226415094,0,NA
8,0.25,0.115384615384615,0
4,0.0175054704595186,0,0
4,1,0,NA
9,0.0666666666666667,0,0
58,1,0,0
87,0.833333333333333,0,NA
17,0.5625,0,NA
115,0.00199203187250996,0,0
6,0.0441176470588235,0,NA
23,1,0,0
9,1,0,0
2,1,0,NA
2,0.285714285714286,0,0
6,1,0,NA
11,0.0149253731343284,0,0
16,1,0,0
1,0,0,0
7,0.0354609929078014,0,0
3,1,0,NA
162,0,0,0
2,1,0,NA
77,0.756756756756757,0,0
12,0,0,0
61,0.454545454545455,0,0
6,0,0,0
22,1,0,NA
70,0.0727272727272727,0,NA
1,0.340425531914894,0,0
15,1,0,0
1,0.1,0,0
1,1,0,0
84,0.0294117647058824,0,NA
1,0,0,0
85,0.396396396396396,0,0
5,0.782608695652174,0,0
5,1,0,NA
12,1,0,0
74,1,0,0
5,0.5,0,NA
85,0,0,0
4,1,0,0
6,0.4,0,0
16,0.792134831460674,0,0
635,1,0,NA
50,0.166666666666667,0,0
21,0,0,NA
3,0.0126582278481013,0,NA
39,0.521739130434783,0,0
1,1,0,0
19,0.0666666666666667,0,0
13,1,0,1
11,0,0,0
135,0.766666666666667,0,1
4,0,0,0
23,0,0,0
111,1,0,0
60,0.142857142857143,0,0
1,0,0,0
1,1,0,0
1,0,0,0
1,0,0,0
1,0.133333333333333,0,0
1,0.523809523809524,0,NA
3,1,0,NA
1,0,0,NA
26,0.0769230769230769,0,0
5,1,0,0
6,0.272727272727273,0,NA
6,0,0,0
37,0.0178571428571429,0,NA
2,1,0,NA
9,1,0,0
15,1,0,0
14,1,0,NA
7,0.333333333333333,0,1
2,1,0,1
282,0.0412371134020619,0,1
2,0,0,1
2031,0.3,0,1
1,0.0518867924528302,0.0909090909090909,1
7,0.3625,0,1
1,0,0,1
121,0,0,1
13,0.578947368421053,0,NA
7,0.0689655172413793,0,NA
253,1,0,NA
