,SOP_Total_netvalue,Reseller
1,189777169,0
2,16328010,0
3,11980068,0
4,20185336,0
5,163312109,0
6,27605928,0
7,380071260,0
8,9451670,0
9,75241201,0
10,4676786,0
11,22405554,NA
12,378802198,0
13,11728292,0
14,4670711,NA
15,680622802,0
16,16015318,0
17,64695037,NA
18,69779078,0
19,97925559,0
20,1099903,0
21,1101739,0
22,300996905,0
23,12691115,0
24,5591829,NA
25,156870444,0
26,32250457,0
27,916607,0
28,33464841,0
29,262518504,0
30,2589788,NA
31,647780723,0
32,906855,0
33,102743680,NA
34,81678628,0
35,717919,0
36,25065267,0
37,5868047,0
38,8599468,0
39,87206438,0
40,1922930752,0
41,562834823,0
42,17613433,0
43,100390726,0
44,1930172,0
45,122782176,0
46,20419948,0
47,130601081,0
48,4643091,NA
49,100994021,0
50,1177827,0
51,15259822,NA
52,160088748,0
53,2683893,0
54,1500927185,0
55,11849225,0
56,201874895,0
57,392302235,NA
58,239620189,0
59,29559947,0
60,1184935987,0
61,73749587,0
62,630413667,0
63,39043942,NA
64,144395344,NA
65,1378735732,NA
66,959872683,0
67,17640976,0
68,363133374,0
69,291309346,0
70,88405141,0
71,1183529,0
72,94919311,0
73,54762911,NA
74,77745709,0
75,12029773,0
76,86607341,0
77,370474822,0
78,18778516,0
79,87779243,0
80,7730281,0
81,23932674,0
82,8002090,0
83,469142107,0
84,317449739,NA
85,61948428,0
86,103275873,NA
87,9510694,NA
88,29559947,0
89,304275083,0
90,32250457,0
91,45160121,0
92,370474822,0
93,82492624,0
94,13335645,NA
95,7120700,0
96,7688321309,0
97,48952218,NA
98,25425639,0
99,140944651,0
100,93936,0
101,66896600,NA
102,509046240,0
103,130601081,0
104,2501986847,0
105,2963102,0
106,2010301294,0
107,18212359,NA
108,6540459,0
109,9244859,0
110,45833472,0
111,1795683209,0
112,62022966,0
113,166738555,0
114,721228625,0
115,47720817,0
116,5367102,0
117,957316955,0
118,1128675379,0
119,297706752,0
120,79677766,NA
121,173564015,NA
122,401637168,0
123,2081296060,NA
124,239444459,0
125,52311724,0
126,70378801,0
127,9720066,NA
128,43891339,0
129,2686356308,0
130,2777571,0
131,1798319863,0
132,24585451,0
133,2072473,0
134,14560712,0
135,571964620,0
136,193696737,0
137,887674993,NA
138,591681354,0
139,61098532,0
140,82509728,NA
141,646635816,0
142,105619648,0
143,1104782,NA
144,63179695,0
145,489557160,0
146,126921879,NA
147,2451962,0
148,58227866,0
149,140944651,NA
150,918242385,0
151,3176432,0
152,103275873,0
153,16465877,0
154,190292120,0
155,67538833,NA
156,17503416,NA
157,1021691587,0
158,107364887,0
159,51032028,NA
160,4107248,0
161,18910204,0
162,175003297,0
163,197465106,0
164,760421495,0
165,40177621,0
166,51756284,0
167,1569265,0
168,27605928,NA
169,12884435,0
170,23792348,0
171,3422915,0
172,83063177,NA
173,8054211,0
174,27839812,0
175,26554523,NA
176,222259480,NA
177,46193494,0
178,12845216,0
179,24652056,0
180,2530393,0
181,30383476,NA
182,4967462,NA
183,399138833,0
184,37376524,0
185,17503416,0
186,6930541,0
187,1171258171,0
188,2543483,0
189,103111375,0
190,584124276,0
191,33884498,NA
192,38697152,0
193,7221776688,0
194,313052717,0
195,393584433,0
196,386862287,0
197,12864169,0
198,11979841,0
199,6428943,0
200,1178990,NA
201,18163946,0
202,4890656,0
203,894347,NA
204,12845216,0
205,1956629,0
206,157415250,0
207,851571,0
208,20741714,0
209,831393141,0
210,262518504,NA
211,1154213,0
212,35322427,0
213,18015471,0
214,1232773364,0
215,35295926,0
216,13688956,0
217,967285594,0
218,940687,0
219,57006632,NA
220,134496721,NA
221,52006917,0
222,218752549,0
223,13454770,0
224,74700440,0
225,47121022,NA
226,6497480539,0
227,50855159,0
228,9967536,0
229,25093126,0
230,22270485,0
231,17703964,0
232,63949834,NA
233,32221328,0
234,440527538,0
235,239620189,0
236,199567877,NA
237,978624,0
238,309599837,0
239,2963102,0
240,45160121,NA
241,2627908,NA
242,72986092,0
243,36258032,0
244,95169450,0
245,8623856,0
246,71421556,NA
247,23746527,0
248,98065828,NA
249,38759681,0
250,6859038,0
251,14945733,0
252,11567718,0
253,21230907,0
254,32324890,0
255,74855055,0
256,21662502,0
257,2498680,NA
258,257740317,0
259,8639010,0
260,1658427,0
261,21802959,NA
262,1134903966,0
263,54113995,0
264,32250457,NA
265,858755916,0
266,12925944,NA
267,10578741,0
268,409476194,0
269,372449458,0
270,150695658,0
271,327960101,0
272,1798319863,0
273,21662502,0
274,948968,0
275,1162342015,0
276,240245765,0
277,36320738,0
278,251250134,0
279,141998826,0
280,1500927185,0
281,1352637493,0
282,102215924,NA
283,6031120701,0
284,472664080,0
285,160174645,NA
286,97925559,NA
287,101185577,0
288,4225142360,0
289,2301275622,0
290,71358,0
291,59697066,0
292,460062000,NA
293,45753958,0
294,232528290,0
295,16431723,NA
296,3810520467,0
297,574526904,NA
298,2142370846,NA
299,465324668,0
300,4643091,0
301,662362588,0
302,10380664,NA
303,10697429,0
304,2200605715,0
305,20152726,0
306,2134885,0
307,31582674,0
308,61213536,0
309,13688956,0
310,84532556,0
311,200173353,NA
312,1170107612,0
313,34772651,0
314,7856298,NA
315,232528290,0
316,405744655,0
317,14761229,0
318,13335645,0
319,11606777,0
320,620700901,0
321,763603516,0
322,2226308971,0
323,123491061,0
324,144487150,0
325,63150678,NA
326,14560712,0
327,2739698651,0
328,105619648,NA
329,235749061,0
330,400346357,0
331,8061445,0
332,20633717925,0
333,768935960,0
334,76956922,0
335,11261287,0
336,17148058,0
337,4770453630,0
338,8274788,0
339,448711298,0
340,383755915,0
341,377786638,0
342,975823,0
343,2777571,NA
344,2072473,NA
345,1798319863,0
346,97485062,0
347,807922875,0
348,14636258,0
349,44058622,NA
350,158681988,0
351,9720066,0
352,49932989,0
353,108643483,0
354,12845216,0
355,4416188086,NA
356,62508117,0
357,957316955,0
358,231992732,0
359,87723065,0
360,45828566,0
361,588243354,0
362,4469846348,NA
363,1326786848,0
364,553144925,0
365,10169497460,0
366,163758118,0
367,43891339,0
368,55515094,0
369,247104769,NA
370,25579684,0
371,803346,NA
372,146537974,NA
373,3166217,NA
374,135028262,0
375,20595621,0
376,2223130,0
377,967285594,0
378,46377274,0
379,4561176767,0
380,202656287,NA
381,1603896823,1
382,1305207,0
383,37942870,0
384,21859798,0
385,33826915,0
386,31582674,NA
387,20152726,0
388,22405554,0
389,31520144,NA
390,111183069,NA
391,16103454,0
392,12950083,0
393,783163807,0
394,4625452,0
395,4038617,NA
396,86097714,NA
397,9996454,0
398,83704860,NA
399,119375379,0
400,6179114460,0
401,2169674551,0
402,4105556311,0
403,11765919,NA
404,919802552,0
405,11070155,0
406,345557546,0
407,169699488,0
408,7795991,NA
409,15570708,0
410,1537594578,0
411,66929843,0
412,6595005,0
413,375602652,NA
414,222259480,NA
415,10578741,0
416,8126727,0
417,111183069,0
418,438907016,0
419,92067631,NA
420,122782176,0
421,799031835,NA
422,6465820,0
423,763603516,NA
424,6859038,0
425,158564230,0
426,1603896823,0
427,20986721,0
428,123491061,0
429,239620189,0
430,219885915,0
431,85245,0
432,237364726,0
433,40924410,0
434,1326786848,0
435,14174581,0
436,49797482,0
437,937008,0
438,108612480,0
439,1035467,NA
440,8054211,0
441,216210328,0
442,54028075,0
443,45053396,0
444,27851305,NA
445,2824209685,1
446,72042809,0
447,921264,0
448,293623082,0
449,26857367,0
450,1104782,0
451,4805535,NA
452,254427640,0
453,7435377,0
454,631874219,0
455,12035380,0
456,208512754,0
457,176588889,0
458,21998120,0
459,1800464,0
460,7082874,0
461,5868047,0
462,988205558,0
463,98539,NA
464,43202392,0
465,240245765,NA
466,5869376,0
467,386862287,0
468,413740934,NA
469,22898893,0
470,4060397,0
471,2065365,0
472,7795991,0
473,61461571,0
474,3422915,0
475,46701565,0
476,7042282,0
477,817884,0
478,100390726,0
479,26703003,NA
480,438907016,0
481,542160573,0
482,2223130,NA
483,5284292,0
484,950125,0
485,2963102,0
486,118427162,NA
487,10405340,NA
488,1940896,0
489,591202,0
490,631874219,0
491,40684953,0
492,27156093,0
493,3452554121,0
494,380071260,NA
495,74537926,0
496,6428943,NA
497,6637608,NA
498,850238004,0
499,178853483,0
500,222259480,0
501,106777621,0
502,42647616,NA
503,269976757,NA
504,4501676,0
505,9220225,1
506,1104782,0
507,11728292,0
508,6428943,0
509,7688321309,0
510,54525164,NA
511,4112385,0
512,317449739,0
513,275162933,0
514,5621103,0
515,95904209,0
516,639386,0
517,733035,0
518,26318264,0
519,16483705,NA
520,1856905,0
521,841831,NA
522,42308743,NA
523,1704085,0
524,22046491,0
525,26554523,0
526,19392344,0
527,79988319,0
528,6465820,1
529,540518514,1
530,28876048,1
531,15560333,1
532,4864258918,NA
533,7092112,1
534,3313223860,1
535,358792692,1
536,767585318,1
537,1866569,1
538,98211330,NA
539,123491061,1
540,994157752,1
541,15470194752,1
542,168649630,1
543,100675346,1
544,298112275,1
545,1494357478,1
546,21921023,1
547,977246,1
548,17844138,1
549,6497480539,0
550,3654570,0
551,11755945897,0
552,14489686,0
553,82492624,0
554,136885959,NA
555,1891051267,0
556,9048726,0
557,73235359,0
558,3344339,0
559,2777571,0
560,1514555732,NA
561,91192,0
562,101166505,0
563,1734585,NA
564,67749374,0
565,4038617,0
566,63150678,0
567,46462405,0
568,639386,0
569,5035479,0
570,22225313,0
571,27605928,0
572,107994004,NA
573,18098789,0
574,745325,0
575,303655021,0
576,291213679,0
577,3444052,0
578,75275559,0
579,1888462411,0
580,231810775,0
581,9451670,0
582,200934829,0
583,1188945496,0
584,8691616,0
585,817884,0
586,2072473,0
587,58227866,0
588,279299734,0
589,327960101,0
590,700694072,0
591,173344846,0
592,3416155,0
593,3244575056,0
594,1750083728,0
595,1867604,0
596,5222106,0
597,170643219,0
598,8790990,NA
599,7610382,0
600,1679665698,0
601,34569552,NA
602,998201,0
603,1569265,0
604,34528972,NA
605,851571,0
606,9451670,0
607,10169497460,NA
608,629804,0
609,11567718,0
610,150695658,0
611,998201,0
612,1188255,0
613,30212932,0
614,3344339,NA
615,15084308,0
616,97254570,0
617,67128535,0
618,29559947,0
619,15570708,0
620,298966908,0
621,81298328,0
622,8181934,0
623,135028262,0
624,13745292,0
625,1657869,NA
626,1041655,NA
627,11728292,0
628,60112634,NA
629,9451670,0
630,17214143,NA
631,574526904,0
632,5969640,0
633,553144925,NA
634,79890871,0
635,30383476,0
636,9237175,NA
637,5511172,NA
638,56078174,NA
639,108655,NA
640,473439053,1
641,8623856,NA
642,100429457,1
643,24795874222,1
644,4317393610,NA
645,6465820,1
646,104545,1
647,4676786,NA
648,3302853974,1
649,3090935,1
650,2530393,1
651,313052717,1
652,1104782,1
653,1781381365,1
654,58681227,1
655,297706752,1
656,57613998,1
657,12372506,1
658,849419,NA
659,207955,0
660,1133791,NA
661,2145638823,0
662,44373942,0
663,142268916,0
664,1215133,0
665,6171263,0
666,3861527,0
667,160001641,0
668,3144742472,0
669,48995098,0
670,27849159,0
671,30711042,0
672,14636258,0
673,25665015,0
674,4408987537,0
675,2036347476,NA
676,61098532,0
677,49273655,0
678,22207671,0
679,2963102,0
680,8274788,0
681,2501986847,0
682,58938762,0
683,757059,0
684,32250457,NA
685,221288484,0
686,6171263,NA
687,41878695,0
688,37286664,NA
689,897053,0
690,1500430,0
691,8824211,0
692,35344713,0
693,11664315,0
694,630413667,0
695,15259822,NA
696,32516138,0
697,994921,0
698,1085973968,0
699,5333441,NA
700,163312109,0
701,1356254537,0
702,926949,NA
703,81745421,NA
704,5377000,0
705,18238985,0
706,2157876786,0
707,16136077,0
708,28132298,0
709,4008730421,0
710,117958977,0
711,296588514,0
712,26857367,0
713,11863209,NA
714,320568016,0
715,63288043,0
716,31582674,0
717,45170534,0
718,357152275,NA
719,971613797,0
720,107364887,0
721,25425639,0
722,5220756575,0
723,12058696,0
724,283421450,0
725,4318943,0
726,1838287,0
727,45753958,0
728,197465106,0
729,255612769,0
730,9524645,0
731,12723575,0
732,11664315,0
733,85245,0
734,9510694,0
735,3662889223,0
736,31520144,0
737,52492166,0
738,39814393,0
739,3215311707,NA
740,240899284,0
741,517001470,0
742,14560712,0
743,769183,NA
744,662652569,0
745,73235359,NA
746,11933872,0
747,162803382,NA
748,6220788,0
749,134811022,0
750,251547618,NA
751,23195586,0
752,15560333,0
753,759783,NA
754,15560333,0
755,4416188086,0
756,49797482,0
757,1798343,NA
758,2603822799,0
759,1988604,0
760,54929549,0
761,124482696,0
762,4967462,0
763,1099903,0
764,89710337,0
765,11063528,0
766,102749762,0
767,9318406,NA
768,33845275,0
769,828781,0
770,168426921,NA
771,1382752261,0
772,151499052,0
773,100765370,0
774,12455069,0
775,868342649,NA
776,106068194,0
777,2289001152,0
778,137820679,0
779,911992651,NA
780,591175232,0
781,7714372,0
782,18040702,0
783,35791236,NA
784,346247969,0
785,90963815,0
786,59703904,0
787,6222211,NA
788,287848456,0
789,53648336,0
790,7856298,0
791,721228625,0
792,1603896823,0
793,586228453,NA
794,124482696,0
795,2407821964,0
796,30212932,0
797,65123743,0
798,32846752,0
799,13639095,0
800,181581907,0
801,130991275,0
802,64033796,0
803,50757729,0
804,58314486,0
805,1356254537,0
806,1271344523,0
807,781073419,0
808,585494011,0
809,197658893,0
810,85072395,0
811,14322289,0
812,1794513,0
813,19361072,NA
814,44967061,0
815,116804647,NA
816,33571586,0
817,51032028,0
818,84825572,0
819,119638741,0
820,102400234,0
821,1043002248,0
822,57883537,0
823,19938670,0
824,4112385,0
825,40456118,0
826,77282244,0
827,74515817,0
828,768935960,0
829,9661540,0
830,22207671,0
831,861884,0
832,54525164,0
833,1569265,0
834,148198563,NA
835,111220613,0
836,50179893,0
837,977246,0
838,376107099,0
839,668806222,0
840,160856391,0
841,16300715,0
842,20026131,0
843,102749762,0
844,189845627,NA
845,90737395,0
846,243183500,0
847,9328323,NA
848,29627478,0
849,61948428,0
850,158681988,NA
851,7400984,NA
852,3654570,NA
853,46193494,0
854,20633717925,0
855,6428943,NA
856,233607857,0
857,2603822799,0
858,399642736,0
859,120584979,0
860,105595634,0
861,1279550,NA
862,1530779,0
863,218859172,0
864,10169497460,0
865,1170107612,0
866,168426921,NA
867,119259711,0
868,3344339,0
869,100994021,0
870,1382752261,NA
871,1648698,0
872,988205558,0
873,56315581,0
874,2936719,0
875,940687,NA
876,64033796,0
877,59012571,0
878,1178990,0
879,868972709,0
880,2683893,NA
881,628536610,NA
882,135028262,0
883,14110692,NA
884,190292120,0
885,11156172,0
886,7082874,0
887,24820135,0
888,118412830,0
889,931741,NA
890,25976921,0
891,4541650,0
892,10437780,0
893,74515817,0
894,477983638,0
895,58938762,0
896,98653685,0
897,119259711,0
898,1041655,0
899,6497480539,0
900,239620189,0
901,11463231,NA
902,3166217,0
903,34169941,0
904,100532217,0
905,386862287,0
906,61556235,0
907,1648698,0
908,88299467,0
909,11728292,0
910,4561176767,0
911,796848,0
912,269682973,NA
913,114792610,0
914,181115181,0
915,62816253,0
916,3551299101,0
917,4670711,0
918,5792111,0
919,173564015,0
920,201874895,NA
921,9080461,0
922,88405141,0
923,64033796,0
924,55260402,0
925,39043942,0
926,240645698,0
927,562834823,NA
928,1041655,0
929,1440168931,NA
930,87559811,0
931,2029334,0
932,1406991316,NA
933,2470838591,NA
934,2784692,0
935,158826313,0
936,916607,0
937,295018809,0
938,958032,0
939,25093126,0
940,2777571,1
941,6445193,0
942,22105054,0
943,3484805,NA
944,19040992,0
945,16229072,0
946,288717057,0
947,849457724,0
948,2080647,0
949,2530393,0
950,20916278,0
951,128688897,0
952,637711587,NA
953,868972709,0
954,625546087,NA
955,82492624,0
956,1907229,0
957,22249965,0
958,885729342,0
959,26142717,NA
960,904567,0
961,3654570,0
962,158826313,0
963,169699488,NA
964,3901611,NA
965,647163,NA
966,768053,NA
967,7224099,0
968,4950838,0
969,3232538,0
970,781073419,0
971,1041655,0
972,156870444,0
973,2029334,NA
974,4584628,0
975,19662285,0
976,20741714,0
977,48952218,0
978,485996,NA
979,519339231,NA
980,271245590,1
981,56400462,1
982,14278781,1
983,291213679,1
984,7027251081,1
985,3244575056,1
986,75241201,1
987,2402749857,1
988,63179695,1
989,3006486,1
990,58938762,1
991,201874895,1
992,1247613,NA
993,143766338,1
994,45833472,1
995,124537452,0
996,1965921,NA
997,82138,0
998,21859798,0
999,103006775,0
1000,29083423,0
1001,585494011,0
1002,208512754,0
1003,52006917,NA
1004,33464841,0
1005,59953172,0
1006,22372402,NA
1007,59165776,0
1008,292733534,0
1009,184698261,0
1010,12916594,0
1011,150695658,NA
1012,902372554,0
1013,128029649,0
1014,11849225,0
1015,13709077,0
1016,8599468,0
1017,1075583,0
1018,12060202,0
1019,3974259,NA
1020,200173353,0
1021,19839149,0
1022,5922390,0
1023,4317393610,NA
1024,81500630,0
1025,6222211,0
1026,10185324,0
1027,5222106,0
1028,480137743,0
1029,752467,0
1030,323135953,NA
1031,25425639,0
1032,4425286,0
1033,16388158,0
1034,58497688,NA
1035,2650117,NA
1036,472579447,0
1037,58353539,0
1038,33884498,0
1039,5868047,0
1040,2134885,0
1041,82492624,0
1042,469142107,NA
1043,9678718,0
1044,751676232,0
1045,92653056,NA
1046,37203464,0
1047,22898893,0
1048,7730281,0
1049,647780723,0
1050,29765154,0
1051,299814727,0
1052,21616809,0
1053,16015318,0
1054,328975571,0
1055,13639095,NA
1056,789708594,0
1057,292641927,0
1058,97485062,0
1059,4435811,NA
1060,161974169,0
1061,998201,0
1062,15486577,0
1063,16605519,NA
1064,1171258171,0
1065,878063386,0
1066,176588889,NA
1067,959872683,0
1068,136731853,0
1069,13807136,0
1070,3551299101,0
1071,10293472,0
1072,1256437901,0
1073,55482692,NA
1074,358792692,0
1075,474755474,0
1076,54113995,0
1077,97254570,0
1078,7714372,NA
1079,383973429,0
1080,85245,0
1081,635756673,0
1082,637711587,0
1083,436619185,NA
1084,2290420,0
1085,391887221,0
1086,30383476,NA
1087,1440168931,0
1088,449243094,0
1089,56099758,0
1090,117650303,0
1091,122965468,0
1092,122782176,0
1093,3058240,NA
1094,115459196,0
1095,151499052,0
1096,851571,0
1097,103111375,NA
1098,620700901,NA
1099,3181065978,0
1100,4625452,0
1101,72042809,1
1102,2791976062,0
1103,271385997,NA
1104,34528972,0
1105,189051960,0
1106,151499052,0
1107,14543519,0
1108,584146894,0
1109,144487150,0
1110,849457724,0
1111,31520144,0
1112,40924410,0
1113,9677435,0
1114,102011,0
1115,34528972,0
1116,724116,0
1117,6337626,NA
1118,59703904,NA
1119,849419,0
1120,2169674551,0
1121,16605519,0
1122,1162342015,0
1123,12492820,0
1124,30578735,0
1125,25965707,0
1126,201874895,0
1127,2291171012,NA
1128,12950083,1
1129,35513140,0
1130,2080647,0
1131,9747278,0
1132,200173353,0
1133,591681354,NA
1134,2035594408,0
1135,760421495,0
1136,19361072,0
1137,41371859,0
1138,2482001,0
1139,1569265,0
1140,2470838591,0
1141,469142107,0
1142,988205558,0
1143,20325663,NA
1144,2291171012,0
1145,5467094,0
1146,5467094,0
1147,37286664,0
1148,105864084,0
1149,137073874,0
1150,20355504,0
1151,1679665698,NA
1152,44373942,NA
1153,975823,0
1154,1183529,0
1155,26612463,0
1156,1821743042,0
1157,199567877,0
1158,19677277,0
1159,10112360,NA
1160,367957392,0
1161,91430222,0
1162,26857367,NA
1163,21998120,0
1164,12845216,0
1165,22207671,0
1166,223975857,0
1167,99791830,0
1168,58227866,0
1169,130601081,0
1170,276470027,0
1171,1267444519,NA
1172,62915481,0
1173,4643091,0
1174,3452554121,0
1175,6637608,0
1176,1015275,0
1177,45092095,0
1178,142455801,NA
1179,44071864,0
1180,111681183,0
1181,499111477,0
1182,24531714,0
1183,35066054,0
1184,24296463,NA
1185,7440811,0
1186,8476427,NA
1187,49225534,0
1188,6261320,0
1189,1271344523,0
1190,868972709,0
1191,8982650,0
1192,6859038,0
1193,179208430,0
1194,7120700,0
1195,847505,0
1196,54762911,0
1197,1603896823,0
1198,6428943,0
1199,12691115,NA
1200,7262308,NA
1201,8598680011,0
1202,23337058,NA
1203,320568016,0
1204,805209,0
1205,305807945,0
1206,240899284,0
1207,13335645,0
1208,1099903,0
1209,2035594408,0
1210,1729323,0
1211,26554523,0
1212,472579447,NA
1213,29634959,0
1214,23182658,0
1215,57883537,0
1216,4719622,0
1217,148633490,NA
1218,80698255,0
1219,3090935,NA
1220,186906454,NA
1221,81294510,0
1222,964911,NA
1223,4294739,0
1224,73235359,0
1225,42647616,0
1226,11687620,NA
1227,10697429,1
1228,6222211,0
1229,20916278,0
1230,39998039,0
1231,288717057,0
1232,23296190,0
1233,188955732,0
1234,70378801,0
1235,897053,0
1236,8917938,NA
1237,2301275622,0
1238,3357718,NA
1239,5802799,NA
1240,11852408,0
1241,101185577,0
1242,151914443,0
1243,83955986,NA
1244,926949,0
1245,173688386,0
1246,14263479,0
1247,118032987,0
1248,416266381,0
1249,922987,0
1250,5222106,NA
1251,1448963,0
1252,887674993,0
1253,6428943,0
1254,134811022,0
1255,177586131,0
1256,2073913,0
1257,1326786848,NA
1258,10485137,0
1259,2470838591,0
1260,102215924,0
1261,82409689,NA
1262,7400984,0
1263,38759681,0
1264,391887221,0
1265,12997364,0
1266,80033,0
1267,11674216,0
1268,10494541,0
1269,17503416,0
1270,4805535,0
1271,1920528,0
1272,2028892,0
1273,50710191,0
1274,902893,0
1275,25403131,NA
1276,4469846348,0
1277,37348074,0
1278,3532588,0
1279,25798196,0
1280,320568016,0
1281,25907696,0
1282,7413986,0
1283,3720670,0
1284,87723065,0
1285,15470194752,NA
1286,1920528,1
1287,6808848,1
1288,2960920,1
1289,10485137,1
1290,61213536,1
1291,96089506,1
1292,9048726,1
1293,2185391,1
1294,51032028,NA
1295,251250134,1
1296,49797482,1
1297,148198563,1
1298,8815442027,NA
1299,631362750,1
1300,16431723,1
1301,17678647,1
1302,773255736,1
1303,1679665698,1
1304,968107,1
1305,122113081,1
1306,184698261,1
1307,148633490,0
1308,18238985,0
1309,1209483,0
1310,807297,0
1311,4408987537,0
1312,103726735,NA
1313,2889366,0
1314,1448963,NA
1315,46462405,NA
