,SOP_sales_organization_NA,SOP_sales_organization_A,SOP_sales_organization_B,Reseller
1,0,65,0,0
2,0,0,18,0
3,0,12,1,0
4,0,8,1,0
5,0,1,190,0
6,0,0,35,0
7,0,171,0,0
8,0,0,10,0
9,0,0,76,0
10,0,3,3,0
11,0,12,0,NA
12,0,11,378,0
13,0,0,15,0
14,0,0,5,NA
15,0,694,0,0
16,0,4,5,0
17,0,33,26,NA
18,0,39,30,0
19,0,1,111,0
20,0,0,1,0
21,0,0,1,0
22,0,11,303,0
23,0,0,16,0
24,0,0,6,NA
25,0,4,184,0
26,0,0,38,0
27,0,0,1,0
28,0,0,46,0
29,0,0,295,0
30,0,4,0,NA
31,0,18,649,0
32,0,1,0,0
33,0,13,90,NA
34,0,19,44,0
35,0,0,1,0
36,0,11,0,0
37,0,0,6,0
38,0,0,11,0
39,0,12,111,0
40,0,1993,0,0
41,0,565,0,0
42,0,13,1,0
43,0,40,0,0
44,0,1,1,0
45,0,0,141,0
46,0,17,3,0
47,0,7,137,0
48,0,0,7,NA
49,0,12,86,0
50,0,0,1,0
51,0,0,16,NA
52,0,0,210,0
53,0,4,0,0
54,0,1624,0,0
55,0,0,12,0
56,0,56,168,0
57,0,9,417,NA
58,0,14,262,0
59,0,0,35,0
60,0,223,1161,0
61,0,0,94,0
62,0,654,0,0
63,0,0,43,NA
64,0,159,0,NA
65,0,0,1342,NA
66,0,1018,0,0
67,0,0,23,0
68,0,424,0,0
69,0,26,286,0
70,0,60,0,0
71,0,0,1,0
72,0,9,83,0
73,0,8,38,NA
74,0,6,76,0
75,0,0,16,0
76,0,2,87,0
77,0,432,0,0
78,0,0,20,0
79,0,0,96,0
80,0,0,10,0
81,0,13,17,0
82,0,0,10,0
83,0,76,446,0
84,0,29,268,NA
85,0,0,72,0
86,0,113,0,NA
87,0,0,10,NA
88,0,0,35,0
89,0,11,320,0
90,0,0,38,0
91,0,32,0,0
92,0,432,0,0
93,0,0,110,0
94,0,9,0,NA
95,0,0,8,0
96,0,120,8561,0
97,0,4,49,NA
98,0,0,27,0
99,0,0,179,0
100,0,0,1,0
101,0,75,0,NA
102,0,4,551,0
103,0,7,137,0
104,0,11,2646,0
105,0,0,1,0
106,0,49,2251,0
107,0,4,9,NA
108,0,3,0,0
109,0,0,11,0
110,0,5,47,0
111,0,212,1839,0
112,0,13,53,0
113,0,2,183,0
114,0,52,637,0
115,0,5,52,0
116,0,0,6,0
117,0,1,1010,0
118,0,1241,0,0
119,0,292,0,0
120,0,0,97,NA
121,0,10,180,NA
122,0,0,428,0
123,0,2094,0,NA
124,0,3,289,0
125,0,29,0,0
126,0,5,77,0
127,0,9,0,NA
128,0,4,44,0
129,0,80,2717,0
130,0,0,3,0
131,0,36,1785,0
132,0,1,31,0
133,0,0,2,0
134,0,3,4,0
135,0,563,0,0
136,0,8,212,0
137,0,31,903,NA
138,0,48,560,0
139,0,3,65,0
140,0,4,85,NA
141,0,78,532,0
142,0,16,81,0
143,0,0,1,NA
144,0,4,57,0
145,0,19,500,0
146,0,5,118,NA
147,0,0,4,0
148,0,0,71,0
149,0,0,179,NA
150,0,25,1010,0
151,0,1,3,0
152,0,113,0,0
153,0,0,19,0
154,0,4,206,0
155,0,0,74,NA
156,0,18,0,NA
157,0,21,1058,0
158,0,40,2,0
159,0,0,68,NA
160,0,0,4,0
161,0,10,0,0
162,0,22,148,0
163,0,11,223,0
164,0,30,780,0
165,0,0,46,0
166,0,0,59,0
167,0,0,2,0
168,0,0,35,NA
169,0,5,0,0
170,0,4,15,0
171,0,0,5,0
172,0,5,88,NA
173,0,0,9,0
174,0,0,32,0
175,0,12,0,NA
176,0,0,258,NA
177,0,10,29,0
178,0,0,15,0
179,0,0,33,0
180,0,2,1,0
181,0,1,33,NA
182,0,0,5,NA
183,0,8,419,0
184,0,0,40,0
185,0,18,0,0
186,0,0,10,0
187,0,18,1281,0
188,0,0,3,0
189,0,10,93,0
190,0,8,637,0
191,0,9,18,NA
192,0,4,34,0
193,0,7855,0,0
194,0,374,0,0
195,0,4,434,0
196,0,0,400,0
197,0,7,0,0
198,0,0,15,0
199,0,0,10,0
200,0,0,2,NA
201,0,6,15,0
202,0,1,4,0
203,0,0,2,NA
204,0,0,15,0
205,0,0,3,0
206,0,157,10,0
207,0,0,1,0
208,0,0,7,0
209,0,22,855,0
210,0,0,295,NA
211,0,0,1,0
212,0,13,2,0
213,0,4,9,0
214,0,424,904,0
215,0,0,34,0
216,0,5,2,0
217,0,8,1145,0
218,0,0,1,0
219,0,20,0,NA
220,0,22,95,NA
221,0,4,47,0
222,0,11,230,0
223,0,14,0,0
224,0,8,70,0
225,0,0,51,NA
226,0,6177,0,0
227,0,0,60,0
228,0,0,11,0
229,0,0,30,0
230,0,9,0,0
231,0,8,0,0
232,0,2,60,NA
233,0,13,2,0
234,0,0,488,0
235,0,14,262,0
236,0,0,229,NA
237,0,0,1,0
238,0,14,329,0
239,0,0,1,0
240,0,32,0,NA
241,0,2,1,NA
242,0,0,77,0
243,0,8,20,0
244,0,102,0,0
245,0,0,11,0
246,0,12,46,NA
247,0,0,27,0
248,0,8,97,NA
249,0,17,0,0
250,0,0,7,0
251,0,1,15,0
252,0,7,3,0
253,0,7,16,0
254,0,0,35,0
255,0,0,80,0
256,0,0,28,0
257,0,0,3,NA
258,0,13,322,0
259,0,11,0,0
260,0,0,2,0
261,0,10,1,NA
262,0,1275,0,0
263,0,42,13,0
264,0,0,38,NA
265,0,905,0,0
266,0,0,14,NA
267,0,0,12,0
268,0,5,436,0
269,0,178,29,0
270,0,66,3,0
271,0,14,340,0
272,0,36,1785,0
273,0,0,28,0
274,0,1,0,0
275,0,96,1147,0
276,0,7,291,0
277,0,1,38,0
278,0,265,0,0
279,0,52,40,0
280,0,1624,0,0
281,0,3,1508,0
282,0,2,110,NA
283,0,6518,0,0
284,0,6,497,0
285,0,15,134,NA
286,0,1,111,NA
287,0,14,90,0
288,0,106,5019,0
289,0,21,2525,0
290,0,0,1,0
291,0,0,73,0
292,0,416,0,NA
293,0,46,0,0
294,0,37,202,0
295,0,0,20,NA
296,0,3697,0,0
297,0,20,628,NA
298,0,2449,0,NA
299,0,5,527,0
300,0,0,7,0
301,0,9,731,0
302,0,0,12,NA
303,0,8,1,0
304,0,18,2418,0
305,0,0,25,0
306,0,0,3,0
307,0,40,0,0
308,0,71,0,0
309,0,5,2,0
310,0,22,47,0
311,0,2,171,NA
312,0,1331,0,0
313,0,4,33,0
314,0,0,8,NA
315,0,37,202,0
316,0,0,430,0
317,0,0,15,0
318,0,9,0,0
319,0,5,1,0
320,0,576,0,0
321,0,793,0,0
322,0,101,2320,0
323,0,0,145,0
324,0,19,139,0
325,0,0,63,NA
326,0,3,4,0
327,0,2927,0,0
328,0,16,81,NA
329,0,13,241,0
330,0,155,279,0
331,0,0,10,0
332,0,21303,0,0
333,0,22,778,0
334,0,0,79,0
335,0,0,11,0
336,0,0,21,0
337,0,144,4813,0
338,0,0,9,0
339,0,11,441,0
340,0,26,378,0
341,0,8,399,0
342,0,0,1,0
343,0,0,3,NA
344,0,0,2,NA
345,0,36,1785,0
346,0,5,101,0
347,0,95,702,0
348,0,0,17,0
349,0,4,35,NA
350,0,8,154,0
351,0,9,0,0
352,0,6,52,0
353,0,4,122,0
354,0,0,15,0
355,0,151,4608,NA
356,0,7,51,0
357,0,1,1010,0
358,0,0,244,0
359,0,1,102,0
360,0,6,30,0
361,0,599,0,0
362,0,171,4589,NA
363,0,19,1482,0
364,0,42,506,0
365,0,9309,0,0
366,0,35,116,0
367,0,4,44,0
368,0,2,59,0
369,0,9,241,NA
370,0,0,38,0
371,0,0,1,NA
372,0,109,0,NA
373,0,0,3,NA
374,0,98,41,0
375,0,0,26,0
376,0,0,3,0
377,0,8,1145,0
378,0,0,50,0
379,0,158,4759,0
380,0,0,236,NA
381,0,89,1578,1
382,0,2,0,0
383,0,10,31,0
384,0,0,18,0
385,0,4,28,0
386,0,40,0,NA
387,0,0,25,0
388,0,12,0,0
389,0,6,31,NA
390,0,48,2,NA
391,0,0,20,0
392,0,6,0,0
393,0,4,865,0
394,0,0,4,0
395,0,0,2,NA
396,0,92,0,NA
397,0,0,10,0
398,0,1,101,NA
399,0,6,96,0
400,0,6742,0,0
401,0,2027,0,0
402,0,77,4528,0
403,0,1,11,NA
404,0,11,1051,0
405,0,5,4,0
406,0,134,0,0
407,0,4,168,0
408,0,3,2,NA
409,0,7,0,0
410,0,32,1570,0
411,0,28,1,0
412,0,0,7,0
413,0,81,259,NA
414,0,0,258,NA
415,0,0,12,0
416,0,2,6,0
417,0,48,2,0
418,0,13,496,0
419,0,10,85,NA
420,0,0,141,0
421,0,7,946,NA
422,0,5,1,0
423,0,793,0,NA
424,0,0,7,0
425,0,9,157,0
426,0,89,1578,0
427,0,0,24,0
428,0,0,145,0
429,0,14,262,0
430,0,0,249,0
431,0,0,1,0
432,0,41,164,0
433,0,0,51,0
434,0,19,1482,0
435,0,0,15,0
436,0,4,45,0
437,0,0,2,0
438,0,58,0,0
439,0,0,1,NA
440,0,0,9,0
441,0,4,253,0
442,0,18,1,0
443,0,0,52,0
444,0,27,0,NA
445,0,0,3259,1
446,0,0,77,0
447,0,2,0,0
448,0,11,344,0
449,0,0,31,0
450,0,0,1,0
451,0,0,6,NA
452,0,2,290,0
453,0,4,0,0
454,0,4,698,0
455,0,0,16,0
456,0,6,229,0
457,0,14,169,0
458,0,4,14,0
459,0,0,2,0
460,0,0,8,0
461,0,0,6,0
462,0,88,944,0
463,0,0,1,NA
464,0,8,29,0
465,0,7,291,NA
466,0,4,0,0
467,0,0,400,0
468,0,14,475,NA
469,0,0,24,0
470,0,1,2,0
471,0,0,3,0
472,0,3,2,0
473,0,14,44,0
474,0,0,5,0
475,0,0,48,0
476,0,0,8,0
477,0,0,1,0
478,0,40,0,0
479,0,0,33,NA
480,0,13,496,0
481,0,25,566,0
482,0,0,3,NA
483,0,0,5,0
484,0,0,2,0
485,0,0,1,0
486,0,63,62,NA
487,0,13,1,NA
488,0,0,2,0
489,0,1,0,0
490,0,4,698,0
491,0,0,50,0
492,0,0,29,0
493,0,7,3898,0
494,0,171,0,NA
495,0,0,75,0
496,0,0,10,NA
497,0,3,0,NA
498,0,59,872,0
499,0,0,177,0
500,0,0,258,0
501,0,0,101,0
502,0,0,45,NA
503,0,4,263,NA
504,0,0,7,0
505,0,2,6,1
506,0,0,1,0
507,0,0,15,0
508,0,0,10,0
509,0,120,8561,0
510,0,0,62,NA
511,0,0,5,0
512,0,29,268,0
513,0,6,282,0
514,0,0,7,0
515,0,36,6,0
516,0,0,1,0
517,0,0,1,0
518,0,0,34,0
519,0,20,0,NA
520,0,0,3,0
521,0,0,1,NA
522,0,0,51,NA
523,0,0,2,0
524,0,8,11,0
525,0,12,0,0
526,0,33,0,0
527,0,91,0,0
528,0,5,1,1
529,0,75,586,1
530,0,11,20,1
531,0,0,16,1
532,0,198,5045,NA
533,0,0,8,1
534,0,156,3474,1
535,0,20,362,1
536,0,18,852,1
537,0,0,2,1
538,0,20,62,NA
539,0,0,145,1
540,0,182,759,1
541,0,8,17527,1
542,0,0,220,1
543,0,4,116,1
544,0,0,586,1
545,0,3,1740,1
546,0,0,25,1
547,0,0,1,1
548,0,0,21,1
549,0,6177,0,0
550,0,0,5,0
551,0,32,12017,0
552,0,1,15,0
553,0,0,110,0
554,0,16,116,NA
555,0,57,1895,0
556,0,0,10,0
557,0,0,45,0
558,0,0,3,0
559,0,0,3,0
560,0,10,1850,NA
561,0,0,1,0
562,0,0,116,0
563,0,2,0,NA
564,0,26,0,0
565,0,0,2,0
566,0,0,63,0
567,0,4,37,0
568,0,0,1,0
569,0,3,3,0
570,0,9,0,0
571,0,0,35,0
572,0,15,89,NA
573,0,4,7,0
574,0,0,1,0
575,0,0,333,0
576,0,0,353,0
577,0,0,4,0
578,0,11,60,0
579,0,42,2090,0
580,0,1,247,0
581,0,0,10,0
582,0,3,196,0
583,0,1217,0,0
584,0,0,9,0
585,0,0,1,0
586,0,0,2,0
587,0,0,71,0
588,0,264,0,0
589,0,14,340,0
590,0,518,0,0
591,0,4,199,0
592,0,0,4,0
593,0,17,3841,0
594,0,26,1792,0
595,0,0,2,0
596,0,0,8,0
597,0,0,163,0
598,0,1,9,NA
599,0,1,8,0
600,0,24,1838,0
601,0,17,20,NA
602,0,0,1,0
603,0,0,2,0
604,0,0,38,NA
605,0,0,1,0
606,0,0,10,0
607,0,9309,0,NA
608,0,0,1,0
609,0,7,3,0
610,0,66,3,0
611,0,0,1,0
612,0,0,1,0
613,0,2,26,0
614,0,0,3,NA
615,0,1,17,0
616,0,16,69,0
617,0,0,68,0
618,0,0,35,0
619,0,7,0,0
620,0,12,296,0
621,0,0,58,0
622,0,0,8,0
623,0,98,41,0
624,0,6,10,0
625,0,0,2,NA
626,0,0,1,NA
627,0,0,15,0
628,0,0,73,NA
629,0,0,10,0
630,0,0,16,NA
631,0,20,628,0
632,0,0,8,0
633,0,42,506,NA
634,0,67,0,0
635,0,1,33,0
636,0,7,0,NA
637,0,0,6,NA
638,0,14,42,NA
639,0,1,0,NA
640,0,94,392,1
641,0,0,11,NA
642,0,12,93,1
643,0,1508,24871,1
644,0,356,4221,NA
645,0,5,1,1
646,0,0,1,1
647,0,3,3,NA
648,0,285,3468,1
649,0,0,4,1
650,0,2,1,1
651,0,374,0,1
652,0,0,1,1
653,0,0,2017,1
654,0,0,74,1
655,0,292,0,1
656,0,2,62,1
657,0,0,15,1
658,0,0,1,NA
659,0,1,0,0
660,0,2,0,NA
661,0,79,2311,0
662,0,21,2,0
663,0,1,169,0
664,0,0,2,0
665,0,0,7,0
666,0,0,4,0
667,0,2,180,0
668,0,23,3256,0
669,0,29,0,0
670,0,21,11,0
671,0,24,0,0
672,0,0,17,0
673,0,0,25,0
674,0,174,4886,0
675,0,40,2259,NA
676,0,3,65,0
677,0,44,0,0
678,0,9,2,0
679,0,0,1,0
680,0,0,9,0
681,0,11,2646,0
682,0,24,1,0
683,0,0,1,0
684,0,0,38,NA
685,0,14,234,0
686,0,0,7,NA
687,0,7,39,0
688,0,0,41,NA
689,0,0,1,0
690,0,3,0,0
691,0,0,12,0
692,0,0,42,0
693,0,0,12,0
694,0,654,0,0
695,0,0,16,NA
696,0,0,44,0
697,0,0,1,0
698,0,27,1168,0
699,0,3,3,NA
700,0,1,190,0
701,0,1408,0,0
702,0,0,1,NA
703,0,1,88,NA
704,0,2,4,0
705,0,0,25,0
706,0,2377,0,0
707,0,9,12,0
708,0,0,28,0
709,0,211,4063,0
710,0,17,101,0
711,0,48,293,0
712,0,0,31,0
713,0,0,14,NA
714,0,31,339,0
715,0,16,59,0
716,0,40,0,0
717,0,54,0,0
718,0,1,372,NA
719,0,986,0,0
720,0,40,2,0
721,0,0,27,0
722,3,5467,0,0
723,0,11,0,0
724,5,58,242,0
725,0,0,6,0
726,0,3,0,0
727,0,46,0,0
728,0,11,223,0
729,0,20,242,0
730,0,0,9,0
731,0,1,10,0
732,0,0,12,0
733,0,0,1,0
734,0,0,10,0
735,0,3860,0,0
736,0,6,31,0
737,0,41,10,0
738,0,33,14,0
739,0,3336,0,NA
740,0,3,306,0
741,0,4,530,0
742,0,3,4,0
743,0,0,1,NA
744,0,42,709,0
745,0,0,45,NA
746,0,5,0,0
747,0,58,44,NA
748,0,0,7,0
749,0,19,112,0
750,0,10,246,NA
751,0,10,0,0
752,0,0,16,0
753,0,0,1,NA
754,0,0,16,0
755,0,151,4608,0
756,0,4,45,0
757,0,0,2,NA
758,0,2721,0,0
759,0,0,2,0
760,0,23,0,0
761,0,9,122,0
762,0,0,5,0
763,0,0,1,0
764,0,0,95,0
765,0,3,9,0
766,0,13,76,0
767,0,0,13,NA
768,0,0,41,0
769,0,0,1,0
770,0,71,121,NA
771,0,1451,0,0
772,0,2,158,0
773,0,0,108,0
774,0,0,13,0
775,0,5,961,NA
776,0,50,0,0
777,0,2281,0,0
778,0,7,134,0
779,0,367,47,NA
780,0,6,643,0
781,0,2,2,0
782,0,10,0,0
783,0,0,36,NA
784,0,0,386,0
785,0,0,99,0
786,0,13,54,0
787,0,0,6,NA
788,0,44,207,0
789,0,45,5,0
790,0,0,8,0
791,0,52,637,0
792,0,89,1578,0
793,0,14,601,NA
794,0,9,122,0
795,0,199,2463,0
796,0,2,26,0
797,0,0,69,0
798,0,8,23,0
799,0,6,3,0
800,0,185,0,0
801,0,1,142,0
802,0,6,74,0
803,0,4,50,0
804,0,20,14,0
805,0,1408,0,0
806,0,75,1520,0
807,0,816,0,0
808,0,71,474,0
809,0,0,225,0
810,0,8,78,0
811,0,8,5,0
812,0,2,0,0
813,0,4,7,NA
814,0,17,14,0
815,0,0,131,NA
816,0,10,11,0
817,0,0,68,0
818,0,3,92,0
819,0,13,107,0
820,0,20,54,0
821,0,11,1250,0
822,0,0,59,0
823,0,0,30,0
824,0,0,5,0
825,0,15,3,0
826,0,0,86,0
827,0,0,76,0
828,0,22,778,0
829,0,4,0,0
830,0,9,2,0
831,0,0,1,0
832,0,0,62,0
833,0,0,2,0
834,0,5,169,NA
835,0,2,155,0
836,0,43,0,0
837,0,0,1,0
838,0,15,399,0
839,0,3,794,0
840,0,26,120,0
841,0,0,18,0
842,0,4,17,0
843,0,13,76,0
844,0,0,178,NA
845,0,3,95,0
846,0,15,236,0
847,0,1,11,NA
848,0,0,35,0
849,0,0,72,0
850,0,8,154,NA
851,0,3,1,NA
852,0,0,5,NA
853,0,10,29,0
854,0,21303,0,0
855,0,0,10,NA
856,0,6,252,0
857,0,2721,0,0
858,0,41,397,0
859,0,18,91,0
860,0,22,58,0
861,0,0,2,NA
862,0,0,2,0
863,0,0,306,0
864,0,9309,0,0
865,0,1331,0,0
866,0,71,121,NA
867,0,5,130,0
868,0,0,3,0
869,0,12,86,0
870,0,1451,0,NA
871,0,1,1,0
872,0,88,944,0
873,0,8,41,0
874,0,0,3,0
875,0,0,1,NA
876,0,6,74,0
877,0,0,68,0
878,0,0,2,0
879,0,25,942,0
880,0,4,0,NA
881,0,22,628,NA
882,0,98,41,0
883,0,16,0,NA
884,0,4,206,0
885,0,15,0,0
886,0,0,8,0
887,0,0,9,0
888,0,0,124,0
889,0,0,1,NA
890,0,25,0,0
891,0,0,3,0
892,0,0,12,0
893,0,0,76,0
