,SOP_sales_organization_NA,SOP_sales_organization_A,SOP_sales_organization_B,Reseller
1732,0,19,44,NA
1733,0,8871,0,0
1734,0,6,7,0
1735,0,89,1578,0
1736,0,1,0,0
1737,0,0,67,NA
1738,0,0,37,0
1739,0,0,99,NA
1740,0,0,1,0
1741,0,49,2251,0
1742,0,91,0,0
1743,0,32,0,0
1744,0,3,3,0
1745,0,6,309,0
1746,0,28,1,0
1747,0,23,303,0
1748,0,0,1,0
1749,0,6,196,NA
1750,0,0,23,0
1751,0,0,10,0
1752,0,0,44,0
1753,0,0,6,0
1754,0,3,75,0
1755,0,0,8,0
1756,0,0,26,0
1757,0,16,47,0
1758,0,0,59,0
1759,0,2,0,0
1760,0,0,4,0
1761,0,56,168,0
1762,0,22,664,0
1763,0,0,1,0
1764,0,270,0,0
1765,0,4,5,0
1766,0,92,0,0
1767,0,20,628,NA
1768,0,0,26,0
1769,0,0,9,0
1770,0,8,75,0
1771,0,344,0,0
1772,0,0,1,0
1773,0,0,5819,NA
1774,0,0,2,0
1775,0,11,303,0
1776,0,0,24,0
1777,0,0,4,0
1778,0,0,34,0
1779,0,0,107,0
1780,0,5,2,0
1781,0,18,0,0
1782,0,0,86,NA
1783,0,0,7,0
1784,0,8,23,0
1785,0,0,98,0
1786,0,105,11,NA
1787,0,0,6,0
1788,0,5,0,NA
1789,0,14,0,0
1790,0,4,118,NA
1791,0,0,551,1
1792,0,20,85,1
1793,0,6,194,NA
1794,0,1,8,1
1795,0,367,12554,1
1796,0,0,4128,NA
1797,0,1,0,1
1798,0,0,60,1
1799,0,0,407,1
1800,0,0,1,1
1801,0,7,609,NA
1802,0,21,49,1
1803,0,198,5045,1
1804,0,63,1,NA
1805,0,0,3,1
1806,0,0,4,0
1807,0,3,4,0
1808,0,1,3,0
1809,0,25,1010,NA
1810,0,432,0,0
1811,0,2,171,0
1812,0,0,3,0
1813,0,13,107,0
1814,0,1,23,0
1815,0,0,101,0
1816,0,46,0,0
1817,0,3697,0,0
1818,0,0,99,0
1819,0,1,111,0
1820,0,1,102,0
1821,0,20,626,NA
1822,0,656,37,0
1823,0,5,9,0
1824,0,0,74,0
1825,0,0,386,0
1826,0,196,1067,NA
1827,0,0,33,0
1828,0,1,1,0
1829,0,0,13,NA
1830,0,15,0,0
1831,0,8,276,0
1832,0,7,291,0
1833,0,8,11,NA
1834,0,0,6,0
1835,0,2,2,0
1836,0,0,4,0
1837,0,0,407,0
1838,0,0,1,0
1839,0,6742,0,NA
1840,0,12,829,0
1841,0,4,361,0
1842,0,21,1058,NA
1843,0,2,0,0
1844,0,0,76,0
1845,0,4,434,0
1846,0,1,4,0
1847,0,1,15,0
1848,0,0,38,0
1849,0,1451,0,0
1850,0,8,399,0
1851,0,4,0,0
1852,0,0,2,0
1853,0,155,279,0
1854,0,29,0,NA
1855,0,24,1494,0
1856,0,1331,0,0
1857,0,0,8,0
1858,0,24,1838,0
1859,0,39,1621,0
1860,0,0,430,NA
1861,0,171,4589,0
1862,0,0,133,0
1863,0,3,28,0
1864,0,0,28,0
1865,0,5,60,0
1866,0,47,0,0
1867,0,5,51,0
1868,0,0,10,0
1869,0,0,25,0
1870,0,4,361,0
1871,0,6,140,0
1872,0,61,0,0
1873,0,0,2,0
1874,0,0,36,0
1875,0,1,88,0
1876,0,9,122,0
1877,0,12,2856,0
1878,0,14,601,0
1879,0,1,14,NA
1880,0,2585,0,0
1881,0,1,111,0
1882,0,71,474,0
1883,0,37,202,0
1884,0,0,1,0
1885,0,14,329,NA
1886,0,101,2320,0
1887,0,28,0,0
1888,0,4,0,NA
1889,0,1,11,NA
1890,0,1331,0,0
1891,0,28,0,0
1892,0,14,601,NA
1893,0,4,15,0
1894,0,0,148,NA
1895,0,6742,0,0
1896,0,3,0,NA
1897,0,59,872,0
1898,0,0,1,0
1899,0,1,247,0
1900,0,16,59,0
1901,0,28,332,0
1902,0,0,6,0
1903,0,37,76,0
1904,0,0,12,NA
1905,0,0,407,NA
1906,0,65,1928,0
1907,0,9,0,0
1908,0,0,146,0
1909,0,0,1,0
1910,0,0,8,0
1911,0,17,20,0
1912,0,11,60,0
1913,0,57,1895,0
1914,0,0,3,0
1915,0,0,1,NA
1916,0,1,0,NA
1917,0,29,268,0
1918,0,0,11,0
1919,0,3,9,NA
1920,0,0,11,0
1921,0,5,54,NA
1922,0,123,0,0
1923,0,7,39,0
1924,0,1,339,0
1925,0,1,58,0
1926,0,73,3284,0
1927,0,4,44,NA
1928,0,0,5,0
1929,0,3,1306,NA
1930,0,52,40,0
1931,0,16,81,NA
1932,0,12,1,0
1933,0,18,91,0
1934,0,0,51,NA
1935,0,1,2,NA
1936,0,4,0,NA
1937,0,61,0,0
1938,0,26,286,0
1939,0,9,83,0
1940,0,1,190,0
1941,0,49,2251,0
1942,0,0,3,0
1943,0,7,32,0
1944,0,2,6,NA
1945,0,75,0,0
1946,0,5,961,0
1947,0,0,50,0
1948,0,1,0,0
1949,0,39,509,0
1950,0,3,9,0
1951,0,13,1,0
1952,0,0,1,0
1953,0,0,386,0
1954,0,1,0,0
1955,0,424,0,0
1956,0,36,8,NA
1957,0,39,509,NA
1958,0,0,2,0
1959,0,0,1,0
1960,0,15,38,0
1961,0,0,35,NA
1962,0,12,46,0
1963,0,0,554,0
1964,0,134,0,0
1965,0,4,49,0
1966,0,3,95,0
1967,0,0,50,NA
1968,0,12,0,0
1969,0,78,532,0
1970,0,1,101,0
1971,0,6707,0,0
1972,0,0,23,0
1973,0,0,14,NA
1974,0,6,643,0
1975,0,0,42,0
1976,0,10,7,0
1977,0,17,3,0
1978,0,11,741,0
1979,0,2,26,0
1980,0,178,29,NA
1981,0,41,164,0
1982,0,1,0,0
1983,0,356,4221,NA
1984,0,22,27,0
1985,0,11,20,NA
1986,0,0,6,NA
1987,0,0,179,0
1988,0,0,14,0
1989,0,94,392,NA
1990,0,0,2,NA
1991,0,0,1,0
1992,0,1,0,0
1993,0,1,18,0
1994,0,5,52,0
1995,0,0,10,NA
1996,0,3,7,0
1997,0,4,263,0
1998,0,9,0,0
1999,0,0,1,0
2000,0,9,15,0
2001,0,0,62,0
2002,0,22,3,0
2003,0,4,0,NA
2004,0,0,20,0
2005,0,0,19,NA
2006,0,1,58,0
2007,0,0,95,NA
2008,0,5,2,0
2009,0,9,28,0
2010,0,0,1,0
2011,0,563,0,0
2012,0,0,28,0
2013,0,1,33,0
2014,0,0,1,0
2015,0,5,0,0
2016,0,0,34,0
2017,1,4,130,NA
2018,0,0,8,0
2019,0,14,90,0
2020,0,7,252,0
2021,0,23,303,0
2022,0,1408,0,0
2023,0,12,0,NA
2024,0,0,9,0
2025,0,0,51,0
2026,0,0,96,0
2027,0,0,71,0
2028,0,3,1508,NA
2029,0,0,1,0
2030,0,4,194,0
2031,0,5,313,0
2032,0,6,282,0
2033,0,2927,0,0
2034,0,9,12,NA
2035,0,0,9,NA
2036,0,8,304,0
2037,0,13,17,0
2038,0,58,44,NA
2039,0,0,15,0
2040,0,0,36,0
2041,0,435,385,0
2042,0,1,189,0
2043,0,0,15,NA
2044,0,0,3,0
2045,0,0,7,0
2046,0,0,11,0
2047,0,2,180,0
2048,0,0,23,0
2049,0,0,10,0
2050,0,8,10,0
2051,0,0,1,0
2052,0,9,2,0
2053,0,0,2,NA
2054,0,0,86,0
2055,0,0,3,0
2056,0,0,295,0
2057,0,0,3789,0
2058,0,2,87,0
2059,0,0,12,0
2060,0,10,499,NA
2061,0,0,51,0
2062,0,0,1,0
2063,0,0,97,0
2064,0,14,169,0
2065,0,0,258,0
2066,0,435,385,0
2067,0,20,362,0
2068,0,6,447,0
2069,0,0,3,0
2070,0,13,2,0
2071,0,0,37,0
2072,0,4,52,NA
2073,0,2,290,0
2074,0,25,0,0
2075,0,0,1,0
2076,0,0,16,0
2077,0,198,5045,0
2078,0,0,7,0
2079,0,0,41,0
2080,0,0,8,0
2081,0,49,28,NA
2082,0,0,244,0
2083,0,9,20,0
2084,0,0,1,0
2085,0,40,2259,0
2086,0,0,10,NA
2087,0,11,441,0
2088,0,10,0,0
2089,0,9309,0,0
2090,0,111,2130,0
2091,0,26,120,0
2092,1,72,806,0
2093,0,0,64,NA
2094,0,10,81,0
2095,0,0,21,0
2096,0,80,2717,0
2097,0,10,85,0
2098,0,5,218,0
2099,0,42,2090,0
2100,0,1,1,0
2101,0,20,0,0
2102,0,0,18,0
2103,0,0,60,0
2104,0,151,4608,0
2105,0,15,38,0
2106,0,4,28,0
2107,0,4,47,0
2108,0,0,76,0
2109,0,0,3,0
2110,0,42,13,0
2111,0,0,1,NA
2112,0,9,731,0
2113,0,0,57,NA
2114,0,1018,0,0
2115,0,14,475,0
2116,0,2,26,1
2117,0,8,419,NA
2118,0,11,378,1
2119,0,5,4,1
2120,0,0,33,1
2121,0,11,60,1
2122,0,12,93,1
2123,0,0,488,1
2124,0,0,233,1
2125,0,128,10,1
2126,0,0,6,1
2127,0,155,279,1
2128,0,576,0,1
2129,0,6,0,1
2130,0,9,1210,1
2131,0,0,1,1
2132,0,4,329,NA
2133,0,0,107,1
2134,0,6,52,0
2135,1,1125,0,0
2136,0,0,15,0
2137,0,42,2090,0
2138,0,0,10,0
2139,0,58,44,0
2140,0,30,7,0
2141,0,0,35,0
2142,0,14,405,0
2143,0,21,636,NA
2144,0,0,2799,0
2145,0,6,140,0
2146,0,0,43,0
2147,0,0,16,0
2148,0,13,53,0
2149,0,0,8,0
2150,0,0,141,0
2151,0,11,1143,NA
2152,0,0,30,NA
2153,0,0,2,0
2154,0,32,0,NA
2155,0,469,0,NA
2156,0,22,341,NA
2157,0,3,5,0
2158,0,4,19,0
2159,0,9309,0,0
2160,0,8,12,NA
2161,0,8,17527,0
2162,0,0,3,0
2163,0,986,0,NA
2164,0,0,3,NA
2165,0,0,551,0
2166,0,424,904,NA
2167,0,2,183,NA
2168,0,0,4,0
2169,0,0,32,0
2170,0,3724,0,0
2171,0,0,6,0
2172,0,3,0,0
2173,0,0,1,0
2174,0,2,0,0
2175,0,10,93,NA
2176,0,3,49,NA
2177,0,0,5,0
2178,0,33,14,0
2179,0,0,15,0
2180,0,0,353,0
2181,0,1,33,0
2182,0,21,1384,NA
2183,0,48,2,0
2184,0,0,4,0
2185,0,0,2,0
2186,0,0,2,0
2187,0,3,3,0
2188,0,0,68,0
2189,0,10,295,0
2190,0,1,4,0
2191,0,5,0,0
2192,0,12,0,0
2193,0,0,13,0
2194,0,12,1,0
2195,0,18,649,0
2196,0,1217,0,NA
2197,0,0,6,0
2198,0,14,262,0
2199,0,1,1,0
2200,0,8871,0,0
2201,0,0,9,0
2202,0,0,77,0
2203,0,4,35,NA
2204,0,6,196,0
2205,0,0,1,0
2206,0,0,249,NA
2207,0,0,1,NA
2208,0,40,2,0
2209,0,0,36,0
2210,0,28,0,0
2211,0,4,361,0
2212,0,0,2,0
2213,0,0,1,0
2214,0,13,322,0
2215,0,4,85,0
2216,0,7,0,0
2217,0,11,0,0
2218,0,5,313,0
2219,0,0,17,0
2220,0,151,4608,0
2221,0,28,753,0
2222,0,4,0,0
2223,0,131,0,0
2224,0,134,0,0
2225,0,0,45,NA
2226,0,2027,0,0
2227,0,7855,0,0
2228,0,0,5,NA
2229,0,0,18,NA
2230,0,16,262,0
2231,0,0,48,0
2232,0,5,295,NA
2233,0,2172,0,0
2234,0,9,1210,NA
2235,0,155,158,0
2236,0,20,626,0
2237,0,43,0,0
2238,0,9109,0,0
2239,0,25,0,0
2240,0,0,45,0
2241,0,0,42,0
2242,0,4,53,NA
2243,0,54,0,NA
2244,0,0,16,0
2245,0,9,122,0
2246,0,8,20,0
2247,0,2,60,NA
2248,0,0,131,0
2249,0,22,95,0
2250,0,3,65,0
2251,0,6,309,0
2252,0,13,1,NA
2253,0,13,1,0
2254,0,5,88,0
2255,0,10,29,NA
2256,0,101,2320,0
2257,0,0,35,NA
2258,0,70,5881,0
2259,0,1241,0,0
2260,0,0,80,NA
2261,0,6,67,0
2262,0,22,855,0
2263,0,4,865,0
2264,0,0,2,0
2265,0,4,56,0
2266,0,599,0,0
2267,0,0,44,0
2268,0,108,594,NA
2269,0,0,20,0
2270,0,4,301,0
2271,0,13,90,0
2272,0,0,45,0
2273,0,4,45,0
2274,0,0,3,NA
2275,0,4,164,0
2276,0,81,259,0
2277,0,2721,0,NA
2278,0,12,75,0
2279,0,12,258,0
2280,0,4,7,NA
2281,0,0,10,0
2282,0,0,21,0
2283,0,0,36,0
2284,0,0,3,0
2285,0,264,0,0
2286,0,0,2,0
2287,0,0,92,0
2288,0,0,77,0
2289,0,0,2,0
2290,0,0,25,0
2291,0,0,15,0
2292,0,18,1719,0
2293,0,0,8,0
2294,0,0,210,0
2295,0,4,515,0
2296,0,161,1534,0
2297,0,5,44,NA
2298,0,0,178,NA
2299,0,7,51,0
2300,0,4,865,0
2301,0,44,0,0
2302,0,18,1,0
2303,0,92,0,NA
2304,0,1,6,NA
2305,2,1247,17082,0
2306,0,3,190,0
2307,0,26,120,0
2308,0,0,42,0
2309,0,6518,0,NA
2310,7,531,877,0
2311,0,0,258,0
2312,0,0,23,0
2313,0,10,11,0
2314,0,9,0,0
2315,0,0,2,0
2316,0,18,649,0
2317,0,1018,0,0
2318,0,5,153,0
2319,0,56,168,0
2320,0,793,0,0
2321,0,0,1,0
2322,0,1,12,NA
2323,0,1,11,0
2324,0,11,144,0
2325,0,0,7,NA
2326,0,0,5819,0
2327,0,1807,0,NA
2328,0,20,46,0
2329,0,0,13,0
2330,0,113,0,0
2331,0,17,0,0
2332,0,7,39,0
2333,0,6594,0,0
2334,0,5,0,0
2335,0,3,4,NA
2336,0,1,0,0
2337,0,0,8,0
2338,0,2,1,NA
2339,0,0,4,0
2340,0,0,75,NA
2341,0,0,163,0
2342,0,0,2,0
2343,0,0,1,0
2344,0,6,3,0
2345,0,71,474,0
2346,0,4,434,0
2347,0,0,1,0
2348,0,0,6,0
2349,0,0,1,0
2350,0,9309,0,0
2351,0,0,611,0
2352,0,174,4886,0
2353,0,0,2799,0
2354,0,0,10,0
2355,0,0,73,0
2356,0,793,0,0
2357,0,694,0,0
2358,0,4,9,0
2359,0,5,1,NA
2360,0,9,1,NA
2361,0,0,63,0
2362,0,0,1,0
2363,0,3,289,0
2364,0,0,7,0
2365,0,11,441,0
2366,0,13,1,0
2367,0,0,91,0
2368,0,3697,0,NA
2369,0,0,190,0
2370,0,10,1850,0
2371,0,6,74,0
2372,0,0,1,0
2373,0,21,307,0
2374,0,3,0,0
2375,0,1,58,0
2376,0,22,95,0
2377,0,285,3468,0
2378,0,7,3898,0
2379,0,0,6,NA
2380,0,0,15,0
2381,0,0,23,0
2382,0,151,0,0
2383,0,30,85,NA
2384,0,4,0,0
2385,0,1275,0,0
2386,0,19,44,NA
2387,0,157,10,0
2388,0,0,1,0
2389,0,0,2,0
2390,0,4,17,0
2391,0,20,626,0
2392,0,1,4,0
2393,0,0,5,NA
2394,0,0,2,0
2395,0,6,76,0
2396,0,15,0,0
2397,0,0,25,0
2398,0,13,127,0
2399,0,26,378,NA
2400,0,0,12,0
2401,0,18,2418,0
2402,0,0,8,0
2403,0,4,44,0
2404,0,0,69,0
2405,0,1,38,0
2406,0,0,10,0
2407,0,1359,0,NA
2408,0,52,90,NA
2409,0,1993,0,0
2410,0,1,120,0
2411,0,4,34,0
2412,0,0,3,0
2413,0,0,210,0
2414,0,9,3,0
2415,0,0,30,0
2416,0,185,0,0
2417,0,0,11,0
2418,0,0,1,0
2419,0,0,73,0
2420,0,421,7532,0
2421,0,0,6,0
2422,0,17,2527,0
2423,0,0,11,0
2424,0,0,9,0
2425,0,12,111,NA
2426,0,0,29,0
2427,0,0,1,0
2428,0,0,9,0
2429,0,0,38,0
2430,0,12,296,0
2431,0,654,0,0
2432,0,0,24,NA
2433,0,21,307,0
2434,0,1,0,0
2435,0,0,249,0
2436,0,17,423,0
2437,0,0,4,NA
2438,0,0,1,NA
2439,0,8,97,0
2440,0,2,6,0
2441,0,264,2102,0
2442,0,0,554,0
2443,0,12,46,0
2444,0,4,253,0
2445,0,1,9,NA
2446,0,1,33,0
2447,0,0,240,NA
2448,0,3,306,0
2449,0,94,392,0
2450,0,24,0,0
2451,0,0,4,NA
2452,0,8,429,0
2453,0,0,1,0
2454,0,13,2,0
2455,0,0,18,0
2456,0,0,3,0
2457,0,10,499,0
2458,0,656,37,0
2459,0,7,3,NA
2460,0,7855,0,0
2461,0,0,1,0
2462,0,0,1,0
2463,0,0,1,0
2464,0,2281,0,0
2465,0,4,21,0
2466,0,0,141,0
2467,0,1,372,0
2468,0,2377,0,0
2469,0,102,0,0
2470,0,6,229,0
2471,0,0,6,0
2472,0,0,3,NA
2473,0,6742,0,0
2474,0,13,90,0
2475,0,0,428,NA
2476,0,9,241,NA
2477,0,11,490,0
2478,0,2,171,0
2479,0,0,5,NA
2480,0,0,25,0
2481,0,32,1570,0
2482,0,17,101,0
2483,0,7,946,0
2484,0,4,0,NA
2485,0,0,32,0
2486,0,13,76,NA
2487,0,39,30,0
2488,0,0,240,0
2489,0,26,286,0
2490,0,23,1202,0
2491,0,0,15,0
2492,0,9,20,0
2493,0,13,70,NA
2494,0,13,53,0
2495,0,0,1,NA
2496,0,144,4813,0
2497,0,31,903,0
2498,0,8,78,0
2499,0,0,15,0
2500,0,0,51,0
2501,0,5,0,0
2502,0,31,29,0
2503,0,1,13,0
2504,0,4,0,0
2505,0,0,8,0
2506,0,0,37,0
2507,0,4,13,0
2508,0,5,47,0
2509,0,0,1,NA
2510,0,0,1,0
2511,0,0,25,0
2512,0,0,7,0
2513,0,0,4,0
2514,0,1,189,0
2515,0,30,3384,0
2516,0,8,11,0
2517,0,0,36,0
2518,0,3,7,0
2519,0,28,915,NA
2520,0,13,54,0
2521,0,19,500,NA
2522,0,6,30,0
2523,0,13,70,0
2524,0,2,140,0
2525,0,23,3256,0
2526,0,120,8561,0
2527,0,75,1520,NA
2528,0,0,1,NA
2529,0,11,441,0
2530,0,10,31,0
2531,0,0,2,0
2532,0,13,2,NA
2533,0,0,12,0
2534,0,8,107,NA
2535,0,0,59,0
2536,0,1,128,0
2537,0,0,27,NA
2538,0,0,35,0
2539,0,12,0,0
2540,0,2,59,0
2541,0,5,436,0
2542,0,17,3841,0
2543,0,24,1774,0
2544,0,54,0,0
2545,0,1,31,0
2546,0,52,637,0
2547,0,1624,0,0
2548,0,0,15,0
2549,0,1,102,0
2550,0,82,0,NA
2551,0,0,285,0
2552,0,0,14,0
2553,0,0,8,0
2554,0,344,0,0
2555,0,1,47,0
2556,0,0,1,0
2557,0,0,38,0
2558,0,0,1,0
2559,0,223,1161,NA
2560,0,9,0,0
